contrast,label,seed,left,right,accuracy_difference
HBB_minus_RBB,HBB - RBB,0,HBB,RBB,-0.00029999999999996696
HBB_minus_RBB,HBB - RBB,1,HBB,RBB,0.0008000000000000229
HBB_minus_RBB,HBB - RBB,2,HBB,RBB,0.0016000000000000458
HBB_minus_RBB,HBB - RBB,3,HBB,RBB,0.0022000000000000908
HBB_minus_RBB,HBB - RBB,4,HBB,RBB,0.0011999999999999789
HHB_minus_RRB,HHB - RRB,0,HHB,RRB,0.0017999999999999128
HHB_minus_RRB,HHB - RRB,1,HHB,RRB,0.0020000000000000018
HHB_minus_RRB,HHB - RRB,2,HHB,RRB,0.0025999999999999357
HHB_minus_RRB,HHB - RRB,3,HHB,RRB,0.007500000000000062
HHB_minus_RRB,HHB - RRB,4,HHB,RRB,0.0033999999999999586
