method,samples_seen,validation_reconstruction_mse_mean,validation_reconstruction_mse_sd,validation_reconstruction_mse_ci_low,validation_reconstruction_mse_ci_high
BBB,50000,0.008878104406595231,0.0005252832346257663,0.008478012237846852,0.009278196575343609
BBB,100000,0.005848365322500467,0.0003964481359873324,0.0055482593141496185,0.006163541470468044
BBB,150000,0.004797388976663351,0.00040627440363941343,0.004560713169574737,0.005161240289360285
BBB,200000,0.004403457895815372,0.0003948410663734502,0.004146378282755613,0.0047447445787489415
BBB,250000,0.003947283045351505,0.000435895883393929,0.003671423900127411,0.004340808178186417
BBB,300000,0.0038179898978769776,0.00040549827865420416,0.003607144228518009,0.0041846853694319725
BBB,350000,0.0036373075364530085,0.0005095605455245044,0.003324985978901386,0.004080324128046632
BBB,400000,0.0035453566144406797,0.0005329662840266021,0.003228574351370335,0.004020274187996983
BBB,450000,0.0034015898869186644,0.0005001722767154908,0.00308980052754283,0.0038481052912026645
BBB,500000,0.003372685530111194,0.0005087902352995992,0.003015990365594626,0.003806840108633041
HBB,550000,0.00903736198782921,0.0004366186514528926,0.008683638665974141,0.009343144055306911
HBB,600000,0.0059434437875449655,0.0003754267829709957,0.005659869945496321,0.0062369375254213814
HBB,650000,0.004906632909178734,0.0004347694511346447,0.00459498724296689,0.005249945858269931
HBB,700000,0.004413439466953278,0.0004694802732154274,0.004100254313647746,0.004824086027443409
HBB,750000,0.004081560192927719,0.0005063190158741117,0.0037350515518337494,0.004535165582150221
HBB,800000,0.003939677210599184,0.0005764815097653675,0.0035678843146562575,0.004443452447503805
HBB,850000,0.003724317637756467,0.000506730372936662,0.0033941658275574446,0.004171583698019386
HBB,900000,0.0036107462991029028,0.000518874152526534,0.003259052492082119,0.004059888557121158
HBB,950000,0.0035024488581717013,0.0005322949270721254,0.0031571468820422886,0.003978533875420689
HBB,1000000,0.003401426901295781,0.0005344496831848005,0.003041893365085125,0.0038541831624507904
HHB,1050000,0.012005317951440811,0.0006977784249496059,0.011426052655279637,0.012544036060273647
HHB,1100000,0.00817952890664339,0.000512241006451918,0.007856264114677904,0.008647856879532338
HHB,1150000,0.00678550911128521,0.0002430568837507315,0.0065777616633474825,0.006959622655957938
HHB,1200000,0.00614089283272624,0.00032808922743959905,0.005881487760543824,0.006400297904908657
HHB,1250000,0.005690609616935253,0.0002419522225138064,0.005505695685893297,0.005876313949972391
HHB,1300000,0.00535262700766325,0.0002888993371035515,0.0051238066779077055,0.005581447337418795
HHB,1350000,0.005123180038183927,0.00022104255128154032,0.004953234921097755,0.005293125155270099
HHB,1400000,0.0049659329298138615,0.0002662990692078415,0.004769637174457312,0.005187246763855218
HHB,1450000,0.0048487558768689635,0.0002524859653001867,0.00465244353428483,0.005045068219453097
HHB,1500000,0.004835033117532731,0.00031006154209248525,0.004588435130566358,0.005081631104499102
HHH,1550000,0.02939558687388897,0.0009936773998685013,0.028625703425407413,0.03014856773018837
HHH,1600000,0.024612929615974426,0.001303450988645364,0.023587912311553955,0.025609854947924615
HHH,1650000,0.022780733457803726,0.0013759960515319775,0.02164870967447758,0.023809130326509474
HHH,1700000,0.021528316579461096,0.0012746135180792162,0.020497327607274053,0.02250639524579048
HHH,1750000,0.02080555646419525,0.001227128484962264,0.019838262457251548,0.021707556174993516
HHH,1800000,0.020363597338795662,0.0014462079102039872,0.01923004318833351,0.02153495131611824
HHH,1850000,0.01989718674480915,0.0013319295418728113,0.018842788414359095,0.020934340312480926
HHH,1900000,0.01941763502061367,0.0012453859179458624,0.01848441589832306,0.020424434607028964
HHH,1950000,0.0191377140802145,0.0014247139808120195,0.01805975463747978,0.02023126112699509
HHH,2000000,0.018874839907884598,0.0015010480959380369,0.017711722910404203,0.02003795690536499
