seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase,source_condition
0,full_bp,BBB,gaussian,0.0,0.916,0.9145960269319188,0.2845175266265869,0.0031431785072599137,0.003152589472459287,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
1,full_bp,BBB,gaussian,0.0,0.9159,0.9147678939996118,0.2877305746078491,0.0031216802081283257,0.0032215629105665244,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
2,full_bp,BBB,gaussian,0.0,0.9187,0.917345793795656,0.2792670428752899,0.0028364413565518903,0.002744810096828305,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
3,full_bp,BBB,gaussian,0.0,0.9121,0.9108027183656539,0.2828608751296997,0.0028725919217479474,0.0029440364625989176,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
4,full_bp,BBB,gaussian,0.0,0.9165,0.9149455936223658,0.27888384461402893,0.0040316192690207035,0.004108846951504143,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
0,hybrid_hbb,HBB,gaussian,0.0,0.9143,0.9129964251041706,0.28509747982025146,0.0033406444685799737,0.0033819878354364513,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
1,hybrid_hbb,HBB,gaussian,0.0,0.9175,0.9164753000567666,0.2857706844806671,0.0031175693341663905,0.003189535821214014,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
2,hybrid_hbb,HBB,gaussian,0.0,0.9144,0.9133011239991106,0.2930019795894623,0.0028047950477016214,0.0027403615435775447,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
3,hybrid_hbb,HBB,gaussian,0.0,0.9179,0.9164990842714044,0.27352264523506165,0.0029624178869383675,0.002943639189856393,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
4,hybrid_hbb,HBB,gaussian,0.0,0.9178,0.9164806467491966,0.27862468361854553,0.004124570015985139,0.0043051388516718025,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
0,hybrid_hhb,HHB,gaussian,0.0,0.9187,0.917342610948835,0.27857092022895813,0.004608535650311684,0.00447359258009463,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
1,hybrid_hhb,HHB,gaussian,0.0,0.9163,0.9150632313422176,0.28453004360198975,0.00490414298894454,0.004787191174954784,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
2,hybrid_hhb,HHB,gaussian,0.0,0.9196,0.9183528283154561,0.2728135883808136,0.004344133953658902,0.00424897635907543,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
3,hybrid_hhb,HHB,gaussian,0.0,0.924,0.9229492486751099,0.27071261405944824,0.00441723254116214,0.0042791522960273585,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
4,hybrid_hhb,HHB,gaussian,0.0,0.9207,0.9193818008888368,0.28007078170776367,0.004961195008608759,0.005053823266710554,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
0,full_hebbian,HHH,gaussian,0.0,0.8978,0.8963436886563901,0.35383105278015137,0.018587339352588265,0.018783687848460916,1.0,0.0,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.0,0.0,0.0,0.0,0.0,clean
