method,noise_type,severity,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,classification_ce_mean,classification_ce_sd,classification_ce_ci_low,classification_ce_ci_high,system_reconstruction_mse_mean,system_reconstruction_mse_sd,system_reconstruction_mse_ci_low,system_reconstruction_mse_ci_high,standardized_reconstruction_mse_mean,standardized_reconstruction_mse_sd,standardized_reconstruction_mse_ci_low,standardized_reconstruction_mse_ci_high,representation_cosine_mean,representation_cosine_sd,representation_cosine_ci_low,representation_cosine_ci_high,prediction_js_divergence_mean,prediction_js_divergence_sd,prediction_js_divergence_ci_low,prediction_js_divergence_ci_high,accuracy_absolute_degradation_mean,accuracy_absolute_degradation_sd,accuracy_absolute_degradation_ci_low,accuracy_absolute_degradation_ci_high,accuracy_relative_degradation_mean,accuracy_relative_degradation_sd,accuracy_relative_degradation_ci_low,accuracy_relative_degradation_ci_high,macro_f1_absolute_degradation_mean,macro_f1_absolute_degradation_sd,macro_f1_absolute_degradation_ci_low,macro_f1_absolute_degradation_ci_high,system_reconstruction_mse_increase_mean,system_reconstruction_mse_increase_sd,system_reconstruction_mse_increase_ci_low,system_reconstruction_mse_increase_ci_high,standardized_reconstruction_mse_increase_mean,standardized_reconstruction_mse_increase_sd,standardized_reconstruction_mse_increase_ci_low,standardized_reconstruction_mse_increase_ci_high,source_condition
BBB,gaussian,0.0,0.91584,0.0023786550821840273,0.9137600000000001,0.9176,0.9144916053430412,0.0023477448489302864,0.9124243285437877,0.9162802604636997,0.28265197277069093,0.003707177774501879,0.27983253002166747,0.28547141551971433,0.0032011022525417565,0.00048485001355310026,0.0029050188997327064,0.0036221256472139945,0.003234369178791435,0.0005233365257333246,0.0028800059327300713,0.003698428045535574,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
HBB,gaussian,0.0,0.91638,0.0018593009439033796,0.9149800000000001,0.9177799999999999,0.9151505160361297,0.0018305255631996028,0.9137542092121638,0.9164869524195935,0.2832034945487976,0.007430886663399658,0.2776042759418488,0.2886632025241852,0.0032699993506742986,0.000517092367223824,0.0029303990406892738,0.0037217697432576392,0.003312132648351241,0.0006059456811933659,0.0029093423312050956,0.0038482087160616506,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
HHB,gaussian,0.0,0.9198599999999999,0.0028254203227130814,0.91766,0.9222400000000001,0.9186179440340909,0.0029015694172393907,0.916382821172865,0.9211106805312482,0.2773395895957947,0.00559195194125449,0.2730044424533844,0.281554514169693,0.0046470480285372056,0.0002787657807319296,0.004426253727990754,0.004867842329083657,0.004568547135372551,0.00034575618626498126,0.004305969978060041,0.00484556265422276,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
HHH,gaussian,0.0,0.8940999999999999,0.008167006795638157,0.8883000000000001,0.9013199999999999,0.8927295922727015,0.008253533092040856,0.8868810729959229,0.8999729301696521,0.3552584707736969,0.024984076658758708,0.3324612081050873,0.370277601480484,0.018500022951242874,0.0015114239059349313,0.017325575389083553,0.019674470513402202,0.018688835105117485,0.001462081046428026,0.017493020102053274,0.019767667216865382,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
BBB,gaussian,0.1,0.8887599999999999,0.00746042894209172,0.8821999999999999,0.89306,0.8874869975486834,0.007770125274940634,0.8806021146437211,0.8918856596859802,0.356688404083252,0.021934902684812577,0.342510986328125,0.3758930444717407,0.00539353225844247,0.0004889749928766175,0.005023041604197755,0.0057758813087307685,0.005548377643410041,0.00041050947787179084,0.005245702387945993,0.005897977632405806,0.9935201048851013,0.0011436194728777953,0.9925973057746887,0.9943613409996033,0.019695874862372877,0.005440284088983165,0.016042480245232582,0.02439822591841221,0.027080000000000014,0.009190593016775321,0.02152000000000003,0.03505999999999998,0.029552213636415275,0.009957325837207832,0.02352791080293187,0.03821182973655317,0.02700460779435778,0.009475508265604502,0.021379194299278904,0.03534876670334488,0.002192430005900714,0.00029849371030279384,0.0019652009508561116,0.0024256882711819238,0.002314008464618605,0.0002407936997199458,0.0021352292000517553,0.0025039175353731426,gaussian
BBB,gaussian,0.2,0.81098,0.03568636994708205,0.78186,0.83492,0.8079763982730725,0.03815237276867515,0.7764721321424566,0.8330013719124221,0.5657543122768403,0.09572826738726431,0.5029433131217956,0.6467268228530884,0.011851827634889253,0.0008720387740770311,0.011100501158383428,0.012479545900383774,0.01204235534278714,0.0006931140798914141,0.011495760988507952,0.012547239939241991,0.975642728805542,0.003940643811035009,0.9723933696746826,0.9782855272293091,0.07126355543732643,0.019881016514434354,0.057757546007633206,0.08845855444669723,0.10486000000000002,0.03782351120665556,0.07912000000000004,0.13572,0.11441896070062807,0.04099858107511631,0.08654168090674762,0.14785387760250665,0.10651520706996868,0.040223086743862164,0.07974261402794736,0.13984250173478172,0.008650725382347495,0.0007671233014591928,0.008055382963394631,0.00924606780130036,0.008807986163995704,0.0007168319158729389,0.008277050982008174,0.009397321355050923,gaussian
BBB,gaussian,0.3,0.7091000000000001,0.05601763115305752,0.66196,0.7501,0.6991139844521778,0.06218275142612559,0.6464031526279291,0.7445052439848159,0.8665396451950074,0.2003542731769271,0.7275574207305908,1.033252477645874,0.021630846061706545,0.001499392101845502,0.020472086980002267,0.022789605143410822,0.02166885718014775,0.0013663409034541589,0.020599824791343847,0.022737889568951664,0.952284574508667,0.007286758771745162,0.9459519743919372,0.9571213722229004,0.13402828425168992,0.033856862351556515,0.11017416417598724,0.16205313801765442,0.20674,0.05816814420281944,0.16430000000000006,0.25574,0.22561947773089877,0.06295797634042918,0.17963771102770443,0.2786078516014688,0.21537762089086354,0.06425581692649347,0.16864220634767407,0.26994702117385994,0.018429743809164786,0.0013241753561291153,0.01739067141172837,0.01941871724712605,0.018434488001356317,0.0013292950200174793,0.017433178942106206,0.01944780222630014,gaussian
BBB,gaussian,0.4,0.59344,0.06559788868553622,0.5446,0.64388,0.5692390301074701,0.07980858892392444,0.5080965017497326,0.628737367232711,1.2432926535606383,0.28740774357935944,1.0412861704826355,1.4674977302551269,0.03356492620429214,0.0021004975902359623,0.0318953863556531,0.035136582436075016,0.03341751295907157,0.0019862513229997546,0.03184970117919299,0.03498532473895014,0.9280662655830383,0.01018159185312372,0.9193586587905884,0.9346435070037842,0.20266295671463014,0.03937236328572672,0.17338388562202453,0.23289862871170045,0.3224,0.06739929524854096,0.27138,0.37277999999999994,0.35191150993144227,0.07282625155899625,0.2964932385853487,0.4063056510685329,0.34525257523557107,0.08163473151024413,0.28441008309977905,0.4074606369252648,0.030363823951750385,0.0018499801907297378,0.028867672595637182,0.03176502214422031,0.03018314378028013,0.0019033648043238786,0.028750411560340798,0.03169406363934887,gaussian
HBB,gaussian,0.1,0.90138,0.004181148167668794,0.8991999999999999,0.9051000000000002,0.9001848931671106,0.004088106280042173,0.898007639954679,0.9038138397467961,0.32587618827819825,0.009648619563248405,0.3171051323413849,0.33174694776535035,0.005398574439068229,0.0004426267338128111,0.00505498226730191,0.0057421666108345495,0.005445974828467077,0.000533732169859657,0.0050240164602046115,0.005867933196729543,0.9934096574783325,0.0009926527053146091,0.9926611185073853,0.99421147108078,0.012504995241761208,0.00135600816348017,0.011304488219320775,0.013394421711564065,0.014999999999999968,0.0037060760920412644,0.011899999999999977,0.01757999999999995,0.016368946223733832,0.004039037428872267,0.012976645341000157,0.019170023298702803,0.014965622869019146,0.003709548746078198,0.011842721510887121,0.017547675523816596,0.002128575088393931,0.0003051159881638061,0.0019060729144544015,0.0023808081275103047,0.002133842180115836,0.0003747235078626306,0.001855483156279644,0.0024382748402381428,gaussian
HBB,gaussian,0.2,0.85968,0.00838582136704569,0.8535600000000001,0.867,0.8583832034952389,0.008041718706685012,0.8524291015519203,0.865365213892583,0.4406921088695526,0.022090570173054203,0.42421760559082033,0.4582630515098572,0.011501791958906212,0.000709927559370796,0.010954870409853606,0.012113064246664243,0.01148904111531316,0.0008724939102271583,0.010866711659723399,0.012243007059097288,0.9767416715621948,0.00280848732520835,0.974643611907959,0.978894317150116,0.044124257564544675,0.00434472406756563,0.04070549234747887,0.047374925762414935,0.05669999999999999,0.008231646250902632,0.049880000000000035,0.06347999999999995,0.06187367111687301,0.008965898401566723,0.05443957794135067,0.06916432719659504,0.056767312540890916,0.007979866237372875,0.05015125734847472,0.06341457130877301,0.008231792608231914,0.0008273992431517475,0.007632686487606594,0.008937717098654534,0.00817690846696192,0.0009638293025803038,0.0074939318088609345,0.008984133998715147,gaussian
