sweep,case,seed,method_id,method,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,system_training_samples_seen,system_training_wall_time_sec,standardized_decoder_samples_seen,standardized_decoder_wall_time_sec,total_training_samples_seen,total_training_wall_time_sec
dimension,L64,0,full_bp,BBB,0.916,0.9145960269319188,0.2845175266265869,0.0031431785072599137,0.003152589472459287,500000,377.950563600054,500000,270.64373090001754,1000000,648.5942945000716
dimension,L64,0,full_hebbian,HHH,0.8978,0.8963436886563901,0.35383105278015137,0.018587339352588265,0.018783687848460916,2000000,802.2583635000046,500000,270.7650542999618,2500000,1073.0234177999664
dimension,L64,0,hybrid_hhb,HHB,0.9187,0.917342610948835,0.27857092022895813,0.004608535650311684,0.00447359258009463,1500000,652.8529571000254,500000,264.2848237999715,2000000,917.1377808999969
dimension,L64,0,hybrid_hbb,HBB,0.9143,0.9129964251041706,0.28509747982025146,0.0033406444685799737,0.0033819878354364513,1000000,499.52275410003494,500000,275.16037890000734,1500000,774.6831330000423
dimension,L64,1,full_bp,BBB,0.9159,0.9147678939996118,0.2877305746078491,0.0031216802081283257,0.0032215629105665244,500000,377.7294918000698,500000,303.43101569998544,1000000,681.1605075000552
dimension,L64,1,full_hebbian,HHH,0.9066,0.9054167924395451,0.31239187717437744,0.016608576688961107,0.0165956913578267,2000000,820.558944700053,500000,296.4658606000012,2500000,1117.0248053000541
dimension,L64,1,hybrid_hhb,HHB,0.9163,0.9150632313422176,0.28453004360198975,0.00490414298894454,0.004787191174954784,1500000,694.5070460001007,500000,291.83176179998554,2000000,986.3388078000862
dimension,L64,1,hybrid_hbb,HBB,0.9175,0.9164753000567666,0.2857706844806671,0.0031175693341663905,0.003189535821214014,1000000,506.99570060009137,500000,292.3309189999709,1500000,799.3266196000623
dimension,L64,2,full_bp,BBB,0.9187,0.917345793795656,0.2792670428752899,0.0028364413565518903,0.002744810096828305,500000,359.6806402000366,500000,300.27980629995,1000000,659.9604464999866
dimension,L64,2,full_hebbian,HHH,0.8864,0.8849496878670783,0.37001922726631165,0.020250216530780404,0.02038676988251355,2000000,845.2702027000487,500000,280.58288899995387,2500000,1125.8530917000026
dimension,L64,2,hybrid_hhb,HHB,0.9196,0.9183528283154561,0.2728135883808136,0.004344133953658902,0.00424897635907543,1500000,637.3715765000088,500000,266.7934047000017,2000000,904.1649812000105
dimension,L64,2,hybrid_hbb,HBB,0.9144,0.9133011239991106,0.2930019795894623,0.0028047950477016214,0.0027403615435775447,1000000,464.4755745000439,500000,246.0006700999802,1500000,710.4762446000241
dimension,L64,3,full_bp,BBB,0.9121,0.9108027183656539,0.2828608751296997,0.0028725919217479474,0.0029440364625989176,500000,211.9927947999995,500000,168.86990969999988,1000000,380.8627044999994
dimension,L64,3,full_hebbian,HHH,0.889,0.8875681968449637,0.36875084042549133,0.019642290076430962,0.01962399306394616,2000000,432.4901485999999,500000,163.44890329999998,2500000,595.9390518999999
dimension,L64,3,hybrid_hhb,HHB,0.924,0.9229492486751099,0.27071261405944824,0.00441723254116214,0.0042791522960273585,1500000,358.6988916999999,500000,176.4912961,2000000,535.1901877999999
dimension,L64,3,hybrid_hbb,HBB,0.9179,0.9164990842714044,0.27352264523506165,0.0029624178869383675,0.002943639189856393,1000000,270.4096316999994,500000,190.5433307000003,1500000,460.9529623999997
dimension,L64,4,full_bp,BBB,0.9165,0.9149455936223658,0.27888384461402893,0.0040316192690207035,0.004108846951504143,500000,237.53089509999973,500000,197.84283120000055,1000000,435.37372630000027
