sweep,case,seed,method_id,method,layer,layer_rule,channel_observation_axis,channel_feature_axis,activation_sparsity,active_neuron_ratio,dead_unit_ratio,winner_coverage_ratio,winner_entropy,max_winner_share,effective_rank,stable_rank,rank_ratio,numerical_rank,pca_components,pca_explained_variance_ratio_sum,linear_probe_cv_accuracy,knn_cv_accuracy,within_class_mean_distance,between_class_mean_centroid_distance,between_within_scatter_ratio,silhouette_score,closest_centroid_class_a,closest_centroid_class_b,closest_centroid_distance,within_class_covariance_participation_rank,between_class_covariance_participation_rank,source_shape,sample_geometry_shape,channel_observation_shape,per_class_effective_rank,spectrum
dimension,L64,0,full_bp,BBB,z,bp,sample_x_spatial_location,channel,0.1465234375,0.859375,0.140625,0.859375,0.8964696946312127,0.08242857142857143,20.10801888670681,7.01333736476586,0.3141877951047939,55,50,0.9859779756516218,0.8615,0.9225,6.570674906509049,3.317256027511374,0.110656124251281,-0.03251736266961936,4,9,2.5609590598865988,47.057081175054854,8.186750667132298,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 19.30884766882825, ""1"": 8.689962486949176, ""2"": 24.156556167243306, ""3"": 23.074927199923422, ""4"": 21.59958382530557, ""5"": 20.50899668636074, ""6"": 19.127610994179697, ""7"": 18.83489967067179, ""8"": 23.82750711457913, ""9"": 19.332062585685172}","[166.13938330429676, 97.8351066421319, 77.10476823675364, 71.89713682496685, 53.92236404850964, 51.65616962226864, 43.52392307305254, 40.424156132610186, 36.96760811571648, 32.456732909597946, 29.070415359142388, 26.88271128823505, 25.338734336627496, 24.62320254083749, 22.885865773778033, 21.31132952246409, 20.030974565852766, 19.274902074007798, 17.59953673497518, 16.51914635047158, 15.801030698872127, 14.9166166216527, 14.185422373332088, 13.821180144355859, 12.715215463452308, 11.951765086382487, 11.565358327926738, 11.154853537568668, 10.785278276690141, 9.961248581297692, 9.464967218131745, 8.992425109609707, 8.769995773943016, 8.440549723889761, 8.087518871134915, 7.498389970889507, 7.159644738186843, 7.095929068612711, 6.5125325409589365, 6.190065689315603, 5.825140980215713, 5.55758143235302, 5.4011822794076805, 5.1940437653760725, 4.925366329027053, 4.764550564069009, 4.619965884395658, 4.212346186593025, 4.055688588652882, 3.763169590121426, 3.6038741071467304, 3.407838753571237, 3.354991079736423, 3.1513245215564005, 2.8203253524592307, 8.42729136149032e-15, 1.469681360672014e-15, 6.043805268584227e-16, 3.159570052521601e-16, 3.833474965201831e-32, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,0,full_hebbian,HHH,z,hebbian,sample_x_spatial_location,channel,0.518578125,0.984375,0.015625,0.109375,0.4678924870096007,0.14285714285714285,1.0157807634039004,1.0078632044563647,0.015871574428185944,57,50,0.9999971815412891,0.8594999999999999,0.8405000000000001,6.40456971295408,3.239151244505933,0.10498307896334617,-0.05065034301176971,4,9,2.4834304396691556,47.34690114370303,8.217996248362605,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 15.59521360306376, ""1"": 6.115159111741896, ""2"": 22.281905030885017, ""3"": 20.70231871749731, ""4"": 16.19271381835646, ""5"": 21.21621681994498, ""6"": 16.34367890774408, ""7"": 14.984677417128589, ""8"": 22.160142286445605, ""9"": 16.60313319657432}","[705.9224373208435, 1.3588709170581974, 0.8283735253759823, 0.6925993204115868, 0.6023005865809627, 0.3077625643847085, 0.2661348184925787, 0.19043994571785272, 0.14963898608264106, 0.13361241164216134, 0.10479760141258634, 0.08623636795279946, 0.07642317874879387, 0.06521629965579322, 0.0597005301420636, 0.05145767551977221, 0.04824979156188717, 0.04306404539546916, 0.040316883831674276, 0.03765805022803527, 0.03493500510399064, 0.03426825845532814, 0.029790139725186123, 0.024455519583938667, 0.0237125253920634, 0.02307411647750102, 0.021109254794689572, 0.020813607963988835, 0.01798131405851484, 0.0162602852018615, 0.015287962258478989, 0.014622522856999425, 0.013917449506981623, 0.01328527422122555, 0.012512599925139178, 0.011885335051661087, 0.011160500145545389, 0.010024195915119294, 0.009454230936908939, 0.009043491079962074, 0.008467752325136024, 0.007092700686796873, 0.00602780494455908, 0.004820486931593924, 0.0026780869925558844, 0.002603833365912807, 0.0023821764353381143, 0.0016773955445586438, 0.0014464418911452092, 0.0011041591697301357, 0.0007180447847706793, 0.0005131317614994572, 0.00045541299839804445, 0.00019788860677324898, 0.00015199361261233592, 2.4683521948666085e-05, 3.372565031879261e-06, 2.480005756234713e-18, 6.138500059447215e-19, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,0,hybrid_hhb,HHB,z,bp,sample_x_spatial_location,channel,0.2561328125,0.765625,0.234375,0.765625,0.857835240168876,0.07871428571428571,11.822025073827069,4.256696633180105,0.18471914177854795,49,50,1.0000001029984693,0.884,0.921,6.520161628487515,3.3259097552876664,0.11145496954415127,-0.009002305371653804,4,9,2.4466998847342105,46.98016071848088,8.097789459873164,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 17.660846683661855, ""1"": 7.351508122295591, ""2"": 23.087578974390016, ""3"": 22.28215262975004, ""4"": 20.49966929761654, ""5"": 20.080861725740483, ""6"": 17.386785573324623, ""7"": 14.963875083404828, ""8"": 23.16696444381788, ""9"": 18.358868149674702}","[135.50092766203835, 50.67245056483898, 42.42517480901033, 34.925935223525826, 30.271991348150618, 23.82939463446663, 22.000620539463828, 20.90013939469436, 16.019807790704732, 14.933319671661748, 13.755821360095116, 12.304490518221696, 10.84866748837466, 10.645999391831063, 9.01058126703645, 8.763953247512351, 8.313862397972613, 8.157788241473403, 7.215876444164683, 6.930196867475859, 6.312797865384911, 6.155444091360266, 5.625808323074277, 5.137461803666553, 4.724391451894395, 4.639145350417636, 4.36631862091999, 4.0531216348404415, 3.9437170521651503, 3.70439796132823, 3.487799201538972, 3.2913373754754978, 3.00468107237588, 2.929815338263267, 2.785181424828768, 2.663688693629127, 2.62881781686345, 2.293321291258522, 2.1513183750311446, 2.0341025445773697, 1.969095240138184, 1.8287773683289472, 1.73728602354428, 1.723859505010079, 1.6645885946653092, 1.4764271641116364, 1.430388222533666, 1.338259880880149, 0.2579944209601253, 2.604622986985548e-15, 1.5925748788675646e-15, 1.2844885937873265e-15, 6.671528048805799e-16, 3.6640895306121957e-16, 9.329844625218051e-17, 2.759449649071499e-32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,0,hybrid_hbb,HBB,z,bp,sample_x_spatial_location,channel,0.177578125,0.828125,0.171875,0.828125,0.8855149297459567,0.07,18.079015880433367,6.204387656413004,0.28248462313177136,53,50,0.9920709221623838,0.85,0.9185000000000001,6.572248508972843,3.2937311041548805,0.10895731966087135,-0.036384930245503544,4,9,2.518949945969319,47.12562073397083,8.146288930773904,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 19.589727078695496, ""1"": 8.45962895299504, ""2"": 23.803332657638197, ""3"": 23.603785962203027, ""4"": 21.455864821138803, ""5"": 20.64041973764915, ""6"": 19.038474238318393, ""7"": 19.10054787441966, ""8"": 23.49545874457755, ""9"": 19.094722401418355}","[101.89126022783628, 50.68254023959729, 47.147234648147986, 37.21100913908677, 30.430708179115364, 27.91150974840276, 24.211185536615233, 21.07235913520616, 18.052567297219245, 17.75337961702612, 16.720219269319756, 14.53664845140397, 13.455640419505025, 12.920992982530684, 11.62806266381686, 10.794715777843011, 10.570017620400158, 10.326851498101043, 9.669971956113626, 8.882147030719908, 8.310176264481997, 8.196468103020157, 7.599181082616809, 7.370823674279364, 6.792067937045354, 6.449632760707798, 5.89839161049637, 5.812412186540098, 5.567910436405928, 5.02267495673781, 4.698143790175441, 4.619760875037248, 4.313452942134987, 4.201588354107434, 4.06375375925465, 3.7743458024961742, 3.6514403545736003, 3.4415777197253123, 3.3557909581912186, 3.069225962471926, 2.9700117940262714, 2.8460432869844308, 2.756065167167222, 2.708863552917283, 2.6210423014557227, 2.5362559186760265, 2.3688293107844154, 2.257424119889405, 2.076157901923986, 1.9419345351289503, 1.7624176434169307, 1.647186879794097, 1.602803873280916, 2.6399133882105733e-15, 1.9245300508565043e-15, 1.0645712039570577e-15, 6.909542179568092e-16, 2.663290013918702e-16, 9.14002595311463e-32, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,1,full_bp,BBB,z,bp,sample_x_spatial_location,channel,0.1617421875,0.84375,0.15625,0.84375,0.9021154829593594,0.07271428571428572,21.026661413267036,7.423101398931031,0.32854158458229743,54,50,0.9882348475512117,0.859,0.929,6.567727702177979,3.301115978250193,0.10948729422232385,-0.03323071516763314,4,9,2.4977592261367207,47.09326127760554,8.131451978797674,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 19.39232042174153, ""1"": 8.882777772018638, ""2"": 23.78703697094833, ""3"": 23.215190830300543, ""4"": 21.705258083707793, ""5"": 20.698633194837658, ""6"": 19.10444443954438, ""7"": 19.453370442981466, ""8"": 23.657509585369407, ""9"": 19.030869658591072}","[169.51991867629408, 98.25652258804368, 84.55993200761003, 76.58780250227767, 59.494246925319, 57.07186295113743, 51.616719278864466, 45.05174911263179, 39.672498400080904, 36.007696288257094, 34.893189587483334, 30.37086971732175, 28.896157401301185, 27.034400690876602, 25.2809402705888, 22.980310006384915, 22.09858892043769, 20.540921389081202, 19.455100422231673, 18.03901286879935, 17.556607400904202, 17.205574858774323, 15.497694497162549, 14.938338421480477, 14.198492832403511, 13.496640994384773, 13.175122031010456, 11.971264781421885, 10.878173312345654, 10.668544660051467, 10.509954189708163, 9.472734828759616, 9.224872717622741, 9.08235515539167, 8.595834670048099, 8.212321773751281, 7.605852650755447, 7.195895668371563, 6.997385276371879, 6.6220442689307335, 6.346922116174959, 6.118297046679521, 5.6889332884057255, 5.574352688128358, 5.489523268199258, 5.258892748360963, 5.1115744512901795, 4.609998151884138, 4.496280692184868, 4.32988422067196, 4.012272909460612, 3.867116716525104, 3.681114216561693, 3.244237963472655, 7.140335485622573e-15, 8.705638369675965e-16, 6.129469271617848e-16, 4.510240437476234e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,1,full_hebbian,HHH,z,hebbian,sample_x_spatial_location,channel,0.4353671875,0.953125,0.046875,0.109375,0.4678924870096007,0.14285714285714285,1.0164628614639042,1.0082016161395155,0.015882232210373503,55,50,0.9999963364020914,0.8555000000000001,0.841,6.407592133624692,3.27584666338005,0.10777686242614083,-0.05541297715314707,4,9,2.247604946569263,47.155912825836054,8.07460844621592,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 17.970084941221444, ""1"": 7.319587251337795, ""2"": 22.308471744179723, ""3"": 20.299178732588427, ""4"": 18.86188715463739, ""5"": 21.524586663617775, ""6"": 17.207189564681343, ""7"": 18.23794164470657, ""8"": 24.96942622267709, ""9"": 18.643878578346023}","[738.8132285489423, 1.3886975789909828, 0.8477452828785721, 0.8420625384454913, 0.5938605120997771, 0.35136244404126227, 0.2711976650214529, 0.23646210164422107, 0.18897520287773484, 0.17379636746686294, 0.13274673687684238, 0.1130806715792222, 0.09045335930133745, 0.08262339460458129, 0.07387102175675588, 0.06666534149225095, 0.058512374729656834, 0.05198374669682531, 0.04711795900690025, 0.04538331224123089, 0.037642633491339145, 0.0353359442558805, 0.027702439786926554, 0.02572636663991692, 0.023464788921198132, 0.020815537891905146, 0.019482628201807742, 0.017141852536976847, 0.016454124446578764, 0.015197655996278535, 0.014467373968962095, 0.013727402573747745, 0.013155931070409318, 0.012653416070615197, 0.011509488022405204, 0.010274393111372567, 0.009668250564856465, 0.008792622568117948, 0.008432285144380235, 0.008223749960069117, 0.007580093660575004, 0.007304403158260272, 0.006869000184310329, 0.0060489941995737935, 0.005950210883599505, 0.004762313733740157, 0.003640516662268541, 0.0029508922943164554, 0.002611026570703148, 0.0025523405057139965, 0.0016982121778071715, 0.0004960295070194215, 0.00028281602538212806, 0.0002207199063741017, 2.8432909240951422e-05, 1.0311312236205512e-16, 1.745090949379035e-17, 1.1098940528640953e-18, 1.0671544351599595e-19, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,1,hybrid_hhb,HHB,z,bp,sample_x_spatial_location,channel,0.2724609375,0.734375,0.265625,0.734375,0.8127149411680655,0.07907142857142857,11.603221924223355,4.331180521602378,0.18130034256598992,47,50,1.0000001485459655,0.8724999999999999,0.9165000000000001,6.407759731365222,3.296491361166294,0.1091409372857402,-0.03672904514621535,4,9,2.464532213171374,47.1102902641946,8.130768815954163,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 18.193863290059912, ""1"": 7.8618866605527655, ""2"": 22.143276738347083, ""3"": 22.291445927871074, ""4"": 15.782734148157125, ""5"": 16.400160883914282, ""6"": 17.381852773551785, ""7"": 17.17302560200387, ""8"": 22.746694256612294, ""9"": 12.451501515361517}","[108.0429540297988, 45.029751758077005, 35.78019138903435, 32.31033300832571, 26.733681575899507, 19.61056666177342, 17.339561706414575, 16.5468897653595, 13.673071920682542, 13.293070639667665, 11.209191238438546, 9.85762299263624, 9.395387294965735, 7.908739433385321, 7.575616463619635, 7.243002501051473, 6.7509839532459885, 6.435952478036524, 5.962021739383862, 5.148406551713594, 4.8767748397158615, 4.59992695608369, 4.058949876279173, 3.879862615426235, 3.497022449814178, 3.395009284184079, 2.979844250867095, 2.7908647119342143, 2.7271004294052417, 2.6160129635629077, 2.542340763945959, 2.274549743471099, 2.191189499141099, 2.0434977063495166, 1.9058632251929895, 1.8463654973043855, 1.710415889928471, 1.6426494122487332, 1.526203301842327, 1.435137393268826, 1.3335989804383164, 1.2869038085086866, 1.1731222802212862, 1.0941934161938378, 1.0618029204340265, 0.9515974473929605, 0.6657412255805789, 3.3460372281429413e-15, 7.518403682102894e-16, 6.156654091343743e-16, 1.8770600991485112e-16, 1.1194415123717075e-16, 1.7623752786692982e-17, 2.743008035928285e-32, 4.187816422909913e-33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,1,hybrid_hbb,HBB,z,bp,sample_x_spatial_location,channel,0.1305390625,0.875,0.125,0.875,0.8891700726256357,0.07742857142857143,20.169725838392964,6.8323194058273256,0.31515196622489006,56,50,0.983581178355962,0.8625,0.9255000000000001,6.5678189655009644,3.303385973740213,0.10962860172898423,-0.03454350270824722,4,9,2.5070995365630306,47.09978617098016,8.165320560512813,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 19.323317366166652, ""1"": 8.607123626671099, ""2"": 23.5154920290467, ""3"": 23.040544825000687, ""4"": 21.422905779271115, ""5"": 20.418166784691362, ""6"": 18.382431746211118, ""7"": 18.34683492725519, ""8"": 23.43739273522189, ""9"": 18.8536155735598}","[93.2563751066275, 48.35173632383278, 43.16313460006306, 38.40364778436023, 30.853556174089, 26.45432315769433, 23.336950546211657, 22.15790251699867, 19.71605817086335, 18.209390875393016, 16.27174533716405, 15.540205051256002, 14.031438211718077, 13.263795096930368, 12.306098156085211, 11.342364008333766, 10.894484651098011, 10.373058528008562, 9.594100219459428, 9.504179076271711, 8.755202882458535, 8.353524550240548, 7.6591642748297915, 7.500222477002494, 7.165171624239864, 6.857640915459694, 6.386578993500887, 6.037360642145152, 5.883531272143037, 5.562018237197525, 5.311207973380793, 5.108434621988986, 4.721672437594501, 4.457773631191501, 4.247684957814829, 4.077273882177012, 3.8365872418063254, 3.778279034250024, 3.505335543594106, 3.4099487887596713, 3.2855884797798476, 3.125899171544508, 3.0411951226884892, 2.8984029315040756, 2.8103541853592495, 2.6842346654961426, 2.5712830660575015, 2.324991072107243, 2.1963706059105155, 2.1187617517533655, 2.0645691214663575, 1.8274565167078447, 1.752528692136148, 1.689673655919443, 1.6234741337203387, 1.5034006117381984, 3.2858418480442594e-15, 9.97975435202341e-16, 2.2390884233498636e-16, 0.0, 0.0, 0.0, 0.0, 0.0]"
dimension,L64,2,full_bp,BBB,z,bp,sample_x_spatial_location,channel,0.0386015625,0.984375,0.015625,0.9375,0.9199348921012727,0.05735714285714286,22.98700624363303,7.943472504644544,0.3591719725567661,63,50,0.9652905196417123,0.858,0.9164999999999999,6.574748829433871,3.297365605471381,0.10929439917282523,-0.029560860669581204,4,9,2.4893956231189796,47.09575341307209,8.113654790083814,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 18.618349875290377, ""1"": 8.633716903289077, ""2"": 23.369610405977337, ""3"": 22.942387923299833, ""4"": 21.758187937460775, ""5"": 20.261665627660715, ""6"": 18.74250616344161, ""7"": 18.307543053579025, ""8"": 23.612712961007713, ""9"": 18.975135942037177}","[139.32749134609338, 84.11057773575197, 67.40272544436894, 65.4953579432246, 54.32637314064855, 51.492303636405474, 39.922191573291435, 37.78427914822152, 34.0552906785563, 30.59923293058403, 28.44102035750079, 26.26769508450056, 24.50072261589353, 23.452237336706748, 21.332799793793132, 19.76906233266011, 19.688869935099, 17.837425170525066, 16.284525362326463, 15.49645655410291, 15.331807726533576, 14.853798338044328, 13.888747971732508, 12.866069562945812, 12.540197377773135, 12.038331141133437, 11.563273901137926, 10.121365347667613, 9.91238011793431, 9.593703417514268, 9.431460369588327, 9.1999667866682, 8.688036377428512, 8.247219564773049, 7.763594648918802, 7.538927349698432, 7.413546357380124, 6.869407836030586, 6.616234047509446, 5.991581253713242, 5.896252337280139, 5.864101625052541, 5.6565269047550855, 5.270598743778149, 5.037655479649184, 4.9000150822101185, 4.7101855341359, 4.44726769549753, 4.343134176020498, 4.187643007008668, 3.9318322025188617, 3.7870118726434634, 3.7637770189617537, 3.6938974401845415, 3.5137703506071656, 3.358848639756445, 3.082388394914181, 2.968664763525258, 2.7942098535690216, 2.571343783412111, 2.4374037089996627, 2.065020838742621, 0.40625958119038785, 0.0]"
dimension,L64,2,full_hebbian,HHH,z,hebbian,sample_x_spatial_location,channel,0.5177734375,0.953125,0.046875,0.109375,0.4678924870096007,0.14285714285714285,1.013705139950528,1.0068318638105054,0.015839142811727,55,50,0.9999987856615462,0.827,0.807,6.360797698031122,3.2065690411845114,0.10302534639830359,-0.03780809585195115,4,9,2.2508157792716066,47.356207001380376,7.987580524744197,"[2000, 64, 1, 1]","[2000, 64]","[2000, 64]","{""0"": 14.0670990715506, ""1"": 8.22128807463206, ""2"": 20.332713332073126, ""3"": 20.843153277122642, ""4"": 14.346938218713918, ""5"": 18.85247702713564, ""6"": 16.91951901374236, ""7"": 15.365066521820964, ""8"": 23.18823154285418, ""9"": 16.385193776517152}","[680.0496726127308, 0.9246764227925564, 0.7953068071354847, 0.645237391915723, 0.4430790820540731, 0.35547572584584874, 0.28168504671788364, 0.1894018358634515, 0.13109852466161392, 0.09409458731833759, 0.08188721688927579, 0.07759596885966874, 0.06069750649140613, 0.05536545770858978, 0.04956319273469137, 0.04341277951146386, 0.03836099189996768, 0.0379482653747946, 0.03212874782963396, 0.027664771780391593, 0.025355661304402494, 0.023233793471746558, 0.02222584598527698, 0.020307123033818823, 0.01820541007425038, 0.0169139940865932, 0.016201309894057905, 0.014739398681249868, 0.013932810078271761, 0.013433447611468148, 0.012164269808781589, 0.010518154836223717, 0.009104863273129208, 0.00831674384821346, 0.008266817072445249, 0.007679953449391912, 0.007204380634952184, 0.005598012378570636, 0.005146548887169681, 0.004754301886602471, 0.00429902488955258, 0.003995482915123409, 0.0022238625093238783, 0.002094737776062386, 0.001316256698486249, 0.0009691247966952351, 0.0007464150918262165, 0.0007159202333869374, 0.0005758083354736195, 0.0005049775432998263, 0.0003785636930250138, 0.0001957799454673535, 6.034770512276868e-06, 1.5525938870328786e-06, 4.219526995600739e-08, 1.0687194406733048e-13, 1.7354075132476563e-15, 4.202410410274575e-16, 7.176853078506136e-18, 9.348404496180594e-25, 0.0, 0.0, 0.0, 0.0]"
