figure,series,layer,metric,value,source
preliminary_classification_accuracy,bp,,test_accuracy_mean,0.91595,results\q1_clean_v1\q1_summary.json
preliminary_classification_accuracy,bp,,test_accuracy_sd,7.071067811864696e-05,results\q1_clean_v1\q1_summary.json
preliminary_classification_accuracy,hebbian,,test_accuracy_mean,0.9022,results\q1_clean_v1\q1_summary.json
preliminary_classification_accuracy,hebbian,,test_accuracy_sd,0.006222539674441561,results\q1_clean_v1\q1_summary.json
preliminary_classification_accuracy,random,,test_accuracy_mean,0.82765,results\q1_clean_v1\q1_summary.json
preliminary_classification_accuracy,random,,test_accuracy_sd,0.007848885271170676,results\q1_clean_v1\q1_summary.json
preliminary_reconstruction_mse,bp,,test_reconstruction_mse_mean,0.00313242935769412,results\q1_clean_v1\q1_summary.json
preliminary_reconstruction_mse,bp,,test_reconstruction_mse_sd,1.5201593099922735e-05,results\q1_clean_v1\q1_summary.json
preliminary_reconstruction_mse,hebbian,,test_reconstruction_mse_mean,0.018177766659795022,results\q1_clean_v1\q1_summary.json
preliminary_reconstruction_mse,hebbian,,test_reconstruction_mse_sd,0.0008646397030027094,results\q1_clean_v1\q1_summary.json
preliminary_seed_values,bp_seed0,,test_accuracy,0.916,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,bp_seed0,,test_reconstruction_mse,0.0031431785072599137,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,hebbian_seed0,,test_accuracy,0.8978,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,hebbian_seed0,,test_reconstruction_mse,0.01878915925707136,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,random_seed0,,test_accuracy,0.8221,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,bp_seed1,,test_accuracy,0.9159,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,bp_seed1,,test_reconstruction_mse,0.0031216802081283257,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,hebbian_seed1,,test_accuracy,0.9066,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,hebbian_seed1,,test_reconstruction_mse,0.017566374062518684,results\q1_clean_v1\q1_run_table.csv
preliminary_seed_values,random_seed1,,test_accuracy,0.8332,results\q1_clean_v1\q1_run_table.csv
stage1b_tradeoff,raw_baseline,z,validation_accuracy,0.9063,results\tuning\validation_tuning_v1\selection_decision.json
stage1b_tradeoff,raw_baseline,z,z_normalized_effective_rank,0.01591512187397718,results\formal\phase0_v1_1\stage1_representation_health\gate_v1\gate_decision.json
stage1b_tradeoff,raw_baseline,z,z_winner_coverage_ratio,0.109375,results\formal\phase0_v1_1\stage1_representation_health\gate_v1\gate_decision.json
