evidence_class,artifact_id,source_root,file_count,total_bytes,compact_evidence_bundled,disposition
final_formal,stage3_core,results/formal/phase0_v1_1/stage3_core,1395,1489138515,true,accepted aggregate evidence only
final_formal,stage3_matched_controls,results/formal/phase0_v1_1/stage3_matched_controls,428,520713571,true,accepted aggregate evidence only
final_formal,stage3_q1_complete,results/formal/phase0_v1_1/stage3_q1_complete,11,431518,true,accepted aggregate evidence only
final_formal,stage3_q2_representation,results/formal/phase0_v1_1/stage3_q2_representation,189,211199986,true,accepted aggregate evidence only
final_formal,stage3_q3_noise,results/formal/phase0_v1_1/stage3_q3_noise,14,1093518,true,accepted aggregate evidence only
final_formal,stage3_q4_updates,results/formal/phase0_v1_1/stage3_q4_updates,210,355061198,true,accepted aggregate evidence only
final_formal,stage3_q5q6_sweeps,results/formal/phase0_v1_1/stage3_q5q6_sweeps,6779,6853814605,true,accepted aggregate evidence only
final_formal,stage3_final_audit_supplement,results/formal/phase0_v1_1/stage3_final_audit_supplement,9,207890,true,accepted aggregate evidence only
formal_governance,stage1_representation_health,results/formal/phase0_v1_1/stage1_representation_health,4,51968,false,preserved locally; excluded from final compact claims
formal_governance,stage1c_effective_rank_audit,results/formal/phase0_v1_1/stage1c_effective_rank_audit,20,782942,false,preserved locally; excluded from final compact claims
formal_governance,stage2_q4_tooling,results/formal/phase0_v1_1/stage2_q4_tooling,26,21074674,false,preserved locally; excluded from final compact claims
confirmation,hybrid_hhb_confirmation,results/hybrid_hhb_confirmation,369,386596092,true,accepted aggregate evidence only
diagnostic,hybrid_depth_ablation,results/hybrid_depth_ablation,169,170940981,false,preserved locally; excluded from final compact claims
diagnostic,hebbian_followup_decision,results/hebbian_followup_decision,6,28855,false,preserved locally; excluded from final compact claims
exploratory,historical_bp_seed0,results/20260720T044850Z_bp_seed0,9,2018822,false,preserved locally; excluded from final compact claims
exploratory,aborted_hebbian_seed0,results/20260720T065348Z_hebbian_seed0,5,427899,false,preserved locally; excluded from final compact claims
exploratory,historical_hebbian_seed0,results/20260720T065919Z_hebbian_seed0,15,3963358,false,preserved locally; excluded from final compact claims
exploratory,random_decoder_seed0,results/20260722T080715Z_random_decoder_seed0,21,22003674,false,preserved locally; excluded from final compact claims
exploratory,q1_clean_v1,results/q1_clean_v1,207,205593227,false,preserved locally; excluded from final compact claims
exploratory,tuning,results/tuning,1004,835773065,false,preserved locally; excluded from final compact claims
exploratory,reconstruction_sanity,results/reconstruction_sanity,5,76413,false,preserved locally; excluded from final compact claims
excluded,results_recovery,results/recovery,19,30446,false,preserved locally; excluded from final compact claims
excluded,q5q6_recovery,results/formal/phase0_v1_1/stage3_q5q6_sweeps/_recovery,65,11252662,false,preserved locally; excluded from final compact claims
exploratory,presentation_stage1b,figures/presentation_stage1b,12,1253000,false,preserved locally; excluded from final compact claims
