method,noise_type,accuracy_auc_mean,accuracy_auc_sd,accuracy_auc_ci_low,accuracy_auc_ci_high,accuracy_degradation_auc_mean,accuracy_degradation_auc_sd,accuracy_degradation_auc_ci_low,accuracy_degradation_auc_ci_high,macro_f1_auc_mean,macro_f1_auc_sd,macro_f1_auc_ci_low,macro_f1_auc_ci_high,system_reconstruction_mse_increase_auc_mean,system_reconstruction_mse_increase_auc_sd,system_reconstruction_mse_increase_auc_ci_low,system_reconstruction_mse_increase_auc_ci_high,standardized_reconstruction_mse_increase_auc_mean,standardized_reconstruction_mse_increase_auc_sd,standardized_reconstruction_mse_increase_auc_ci_low,standardized_reconstruction_mse_increase_auc_ci_high,representation_cosine_auc_mean,representation_cosine_auc_sd,representation_cosine_auc_ci_low,representation_cosine_auc_ci_high,prediction_js_divergence_auc_mean,prediction_js_divergence_auc_sd,prediction_js_divergence_auc_ci_low,prediction_js_divergence_auc_ci_high
BBB,gaussian,0.7908700000000002,0.03163978483452446,0.7640675,0.8132850000000001,0.12497000000000003,0.0337369750329664,0.10111500000000004,0.1535525,0.7841106744997973,0.035826126153249586,0.7542910681671982,0.8094934836501523,0.011113702793322048,0.0007564592673610416,0.010531966348363429,0.011695439238280668,0.011162013630027676,0.0007627665340600597,0.010598455894443453,0.01176793592242562,0.9713701352477073,0.004319050766090029,0.9675712242722512,0.9742502272129059,0.08157979822717606,0.019101280381887402,0.06857009460218251,0.09759954111650584
HHH,gaussian,0.63497,0.04873499496639965,0.6021625,0.6752825,0.25913,0.05410860938311945,0.2152875,0.2963675,0.6178548191805442,0.04767021203542681,0.5833255521241691,0.6581485725132481,0.02067726017153993,0.002738651946296364,0.019243905536252624,0.023165720356386536,0.01999356773298614,0.003185455130404151,0.01833159047866354,0.022860655299400796,0.9998860210180283,2.8659636664707294e-05,0.9998626098036766,0.9999074563384056,0.16865446083247662,0.03604473052532051,0.13995500523597001,0.19521001372486352
HHB,gaussian,0.7502525,0.03825033741681241,0.7243974999999999,0.7838050000000001,0.1696075,0.03826247917346706,0.136925,0.1941025,0.7409567705020089,0.04074250019691795,0.7127720975039724,0.7750883050942934,0.01737810607244774,0.0012823829542289822,0.0162405448017315,0.018211008103027636,0.019513358344958757,0.0023407926914811713,0.01787806378865729,0.02139647780016977,0.9616565048694611,0.005335363496070251,0.9570080757141113,0.9647291123867034,0.10813990929163993,0.022595242331352156,0.08767767515964806,0.12309168884530663
HBB,gaussian,0.8365925000000001,0.009879261738611835,0.8295899999999999,0.8444675,0.07978749999999998,0.00919804666763546,0.07172750000000001,0.08638499999999999,0.8354698057627706,0.009266893390947864,0.8289487690574143,0.8432891193623504,0.01058157584150835,0.0007194554984954073,0.010049138761399961,0.011183954218504382,0.010476023913743544,0.0008599692041122112,0.009860134641856562,0.011189843843202202,0.9732776880264282,0.002728313497866704,0.9711835414171219,0.9753718346357345,0.05615339512005448,0.004645749545652976,0.05234597004018724,0.05964633044786751
BBB,salt_pepper,0.5805849999999999,0.06766490181401287,0.53087,0.6351324999999999,0.335255,0.06712921634802538,0.2816875,0.38465,0.5579808025987493,0.07979604909813977,0.4984627293037825,0.6217810012349592,0.03118559213249659,0.0014867177741362762,0.030071446158800808,0.03239382002232634,0.03158948110674109,0.001804464194178859,0.030163281155082645,0.03301568105839953,0.9313366204500199,0.009167334524113576,0.923397071659565,0.9379414781928063,0.21275191865861415,0.04698569483920234,0.17614474929869176,0.24805038422346115
HHH,salt_pepper,0.5256325000000001,0.043728835595062465,0.4975549999999999,0.5616225,0.36846750000000006,0.05020865027562483,0.32608499999999996,0.40366749999999996,0.5005326157827374,0.044689287143325235,0.46925839922599166,0.5404468393654093,0.037473385017842656,0.003957596081665547,0.035387109221001065,0.041030362687986724,0.03665018082540862,0.004504400734609887,0.033895408740432884,0.04077386708502867,0.9997980475425721,4.675953474966461e-05,0.9997590392827987,0.9998316168785095,0.24598482474684716,0.035221363972587974,0.21671832986176015,0.2722839657217264
HHB,salt_pepper,0.60262,0.02402906865912623,0.5850099999999999,0.622265,0.3172400000000001,0.026172664950764982,0.29635500000000004,0.33723000000000003,0.5751668210377192,0.022712399865084554,0.5580759193209504,0.5931830385457647,0.0326551168427297,0.0009255663592762781,0.03195003480464829,0.033413411263872164,0.035836296626426734,0.002666172803797637,0.03429734830058351,0.03822636698880974,0.9349714428186416,0.004883715805656558,0.9308550015091897,0.9382999286055564,0.20507498271763325,0.01686303207722783,0.19150114692747594,0.2169859111309052
HBB,salt_pepper,0.5991924999999999,0.07846898202872903,0.5416350000000001,0.6647749999999999,0.3171875,0.07769383672869423,0.253065,0.37336499999999995,0.5774257188049021,0.09078294428316044,0.5130168901219526,0.6572699244717014,0.030770247092289583,0.0020998679123947483,0.029149152150640685,0.0323532269030262,0.03156200284955453,0.0027064805146546976,0.029475860228124928,0.03358221001934032,0.9360872879624367,0.007875747643784159,0.9300197273492813,0.941893869638443,0.20253908894956113,0.052737501997056006,0.15853764154016972,0.24236389622092247
BBB,pixel_masking,0.8917375,0.004982187019773601,0.8881775,0.8954675,0.024102500000000002,0.004594446375788905,0.02012750000000002,0.027327500000000005,0.890220541308224,0.004860509507579545,0.8868058644355818,0.8939231389616241,0.009811994161806545,0.0009596373049454572,0.009050682397338809,0.010573305926274281,0.010535835545951005,0.0012948412003146931,0.009686583991616357,0.011680866910809157,0.9887120738625527,0.001411280241153108,0.9877196222543716,0.9898403987288475,0.01880019358359277,0.002078699008578841,0.017152431420981884,0.02044795574620366
HHH,pixel_masking,0.8585699999999999,0.009129774435877383,0.8514875,0.8656525,0.03552999999999999,0.002352585014404349,0.03385250000000001,0.0373525,0.8566391873232554,0.009257892025159508,0.8495135058401267,0.863876337381041,0.00777805068716711,0.0006912662438551304,0.007265785368364685,0.008290316005969533,0.00789103208746229,0.0003015422784522568,0.007646335217320191,0.008112034783655284,0.9999738395214081,2.756968531667371e-06,0.9999714136123657,0.9999756887555122,0.028943443857133395,0.0010685370839194452,0.02812545988708735,0.029761427827179436
HHB,pixel_masking,0.8870075,0.004243014479706637,0.883745,0.89024,0.03285249999999999,0.00412133738912507,0.029554999999999977,0.03586750000000003,0.8856323598319076,0.004304638285288678,0.8823061897318949,0.889138063368111,0.010997647459373183,0.0005055454130608323,0.010653152117656202,0.011433720610482354,0.010820397372756686,0.00048456368726613536,0.010477561318923016,0.011235831810260305,0.9891351655125618,0.0002897836801434899,0.9889323249459266,0.9893811702728271,0.023511416325345636,0.0017000536714771104,0.022157746460288764,0.02486508619040251
HBB,pixel_masking,0.8925124999999999,0.0033565584122729596,0.8901825000000001,0.8952275000000001,0.0238675,0.003203569786191616,0.02158500000000003,0.02668999999999999,0.8913078901738356,0.0032540367289852334,0.8889874838348337,0.8939488261392563,0.010658073607312173,0.0003300438179024403,0.010443851901621233,0.010945420495344669,0.011495161796808245,0.0006869647281594533,0.010972565160941106,0.012017758432675382,0.9885593369603157,0.001140899423038965,0.9877019435167312,0.9895121321082115,0.01917463873978704,0.001519460145234418,0.01809721307363361,0.02052215114235878
