layer,left_method,right_method,mean_pca50_linear_cka,sd_pca50_linear_cka
h1,BBB,BBB,1.0000000000000009,3.510833468576701e-16
h1,BBB,HHH,0.9931832254295386,0.0018360481475170447
h1,BBB,HHB,0.9931832254295386,0.0018360481475170447
h1,BBB,HBB,0.9931832254295386,0.0018360481475170447
h1,BBB,RBB,0.9936617642852115,0.007137772412132293
h1,BBB,RRB,0.9936617642852115,0.007137772412132293
h1,HHH,HHH,1.000000000000001,1.5700924586837752e-16
h1,HHH,HHB,1.000000000000001,1.5700924586837752e-16
h1,HHH,HBB,1.000000000000001,1.5700924586837752e-16
h1,HHH,RBB,0.986936946768737,0.014317784494947272
h1,HHH,RRB,0.986936946768737,0.014317784494947272
h1,HHB,HHB,1.000000000000001,1.5700924586837752e-16
h1,HHB,HBB,1.000000000000001,1.5700924586837752e-16
h1,HHB,RBB,0.986936946768737,0.014317784494947272
h1,HHB,RRB,0.986936946768737,0.014317784494947272
h1,HBB,HBB,1.000000000000001,1.5700924586837752e-16
h1,HBB,RBB,0.986936946768737,0.014317784494947272
h1,HBB,RRB,0.986936946768737,0.014317784494947272
h1,RBB,RBB,1.000000000000001,2.7194799110210365e-16
h1,RBB,RRB,1.000000000000001,2.7194799110210365e-16
h1,RRB,RRB,1.000000000000001,2.7194799110210365e-16
h2,BBB,BBB,1.0000000000000009,2.7194799110210365e-16
h2,BBB,HHH,0.8553626832310967,0.010316276454159976
h2,BBB,HHB,0.8553626832310967,0.010316276454159976
h2,BBB,HBB,0.994144932423443,0.0015224132584907007
h2,BBB,RBB,0.9945656924258619,0.0015391644305355024
h2,BBB,RRB,0.945344934267825,0.01276133318922856
h2,HHH,HHH,1.0000000000000002,2.220446049250313e-16
h2,HHH,HHB,1.0000000000000002,2.220446049250313e-16
h2,HHH,HBB,0.8653092678137444,0.01601648349453049
h2,HHH,RBB,0.8574091081562708,0.010653052828345751
h2,HHH,RRB,0.8575962632774605,0.04849349145850603
h2,HHB,HHB,1.0000000000000002,2.220446049250313e-16
h2,HHB,HBB,0.8653092678137444,0.01601648349453049
h2,HHB,RBB,0.8574091081562708,0.010653052828345751
h2,HHB,RRB,0.8575962632774605,0.04849349145850603
h2,HBB,HBB,1.0000000000000009,2.220446049250313e-16
h2,HBB,RBB,0.995004169170825,0.003043340110010448
h2,HBB,RRB,0.9495491058646834,0.019510593326492687
h2,RBB,RBB,1.0000000000000013,3.510833468576701e-16
h2,RBB,RRB,0.9536476657506963,0.012214875940555196
h2,RRB,RRB,1.000000000000001,2.482534153247273e-16
z,BBB,BBB,1.000000000000001,3.510833468576701e-16
z,BBB,HHH,0.4822697230037175,0.02872958437204753
z,BBB,HHB,0.9088203822399352,0.00785887913507059
z,BBB,HBB,0.9700531641304535,0.004677320889326986
z,BBB,RBB,0.9805973097698022,0.002823125265092903
z,BBB,RRB,0.9359229530823792,0.00958176620026075
z,HHH,HHH,0.9999999999999998,3.188872858294072e-16
z,HHH,HHB,0.6723187335268999,0.029711715406275197
z,HHH,HBB,0.5021879442953668,0.021800468599054046
z,HHH,RBB,0.5007979488777415,0.025409161147536705
z,HHH,RRB,0.5217925210676325,0.06833742377014826
z,HHB,HHB,1.0000000000000009,2.9373740229761033e-16
z,HHB,HBB,0.9164984364951841,0.011217795280232203
z,HHB,RBB,0.9167093166517783,0.008713766989026322
z,HHB,RRB,0.9279113565524089,0.022671380811836544
z,HBB,HBB,1.000000000000001,4.1540741810552243e-16
z,HBB,RBB,0.9709294533539392,0.0064531657791572945
z,HBB,RRB,0.9357879410491698,0.0063813539500698025
z,RBB,RBB,1.0000000000000009,4.577566798522237e-16
z,RBB,RRB,0.9444755338427301,0.008192403334028247
z,RRB,RRB,1.0000000000000013,3.510833468576701e-16
