method,layer,activation_sparsity_mean,activation_sparsity_sd,active_neuron_ratio_mean,active_neuron_ratio_sd,winner_coverage_ratio_mean,winner_coverage_ratio_sd,winner_entropy_mean,winner_entropy_sd,max_winner_share_mean,max_winner_share_sd,effective_rank_mean,effective_rank_sd,stable_rank_mean,stable_rank_sd,rank_ratio_mean,rank_ratio_sd,linear_probe_cv_accuracy_mean,linear_probe_cv_accuracy_sd,knn_cv_accuracy_mean,knn_cv_accuracy_sd,within_class_mean_distance_mean,within_class_mean_distance_sd,between_class_mean_centroid_distance_mean,between_class_mean_centroid_distance_sd,between_within_scatter_ratio_mean,between_within_scatter_ratio_sd,silhouette_score_mean,silhouette_score_sd,within_class_covariance_participation_rank_mean,within_class_covariance_participation_rank_sd,between_class_covariance_participation_rank_mean,between_class_covariance_participation_rank_sd
BBB,h1,0.8180397959183674,0.01879141115432344,1.0,0.0,0.9875,0.02795084971874737,0.7702586229804895,0.06858517710123785,0.2736962314427103,0.05486290215768822,1.882369806551793,0.2618257852212493,1.4005715885134244,0.11086142270710622,0.11764811290948707,0.01636411157632808,0.9004,0.004979959839195566,0.8427999999999999,0.007766917020285399,6.609234627143889,0.007947670586457121,3.3081254482770204,0.011548433341611136,0.11004322856452134,0.0008366118166700764,-0.028580419717087226,0.0031443553087154856,47.07179775192747,0.033741811443879034,8.147302441359376,0.02170178005676777
BBB,h2,0.7053424744897959,0.011610823590036772,1.0,0.0,1.0,0.0,0.941798478730635,0.009309580052752375,0.08038516938848046,0.015102905448773626,4.30995940156323,0.42306718068990745,2.253398276366468,0.1525158458344161,0.13468623129885093,0.013220849396559608,0.9190000000000002,0.00511126207506525,0.8748000000000001,0.004266145801540252,6.580046099893305,0.009607091939024846,3.4531117448462196,0.030323165012337085,0.12101574330868219,0.0023463124745819017,-0.016027557329648136,0.001227266350326799,46.5640270516694,0.10941120075940557,8.28071424161526,0.03219741566194452
BBB,z,0.14968281249999998,0.12360451055895,0.859375,0.1283724744152733,0.85,0.11827619292359726,0.8938356231243503,0.02788781689291456,0.06735714285714287,0.01088471592722229,20.268654129908928,2.753912877803916,7.11449822093279,0.8104274964413252,0.316697720779827,0.043029888715686186,0.8605,0.004000000000000007,0.9241999999999999,0.005837379549078582,6.491456380844402,0.17827526979801367,3.3043847276091043,0.008799105842097065,0.1097315847650618,0.0006230825445718492,-0.02641349345245143,0.012097929703349138,47.08577720023656,0.017086687477140518,8.143193184124495,0.03763557667152831
HBB,h1,0.8328920918367346,0.028341749022691858,1.0,0.0,0.9,0.08385254915624211,0.6196834921396143,0.05537378204568638,0.34213377109503873,0.03068808700711506,1.3607151779211093,0.07823864714954397,1.1726882926573663,0.03665326554405735,0.08504469862006933,0.004889915446846498,0.8919,0.0048140419607643,0.807,0.01871830654733485,6.597036922465881,0.009382990985216513,3.2905682624425046,0.005403162360704859,0.1087670037049759,0.000397968914364042,-0.032309748389203544,0.0034181672348201223,47.13040039525351,0.016309584025921465,8.134514341132373,0.01247705709790725
HBB,h2,0.6954180484693877,0.009799894034750989,1.0,0.0,1.0,0.0,0.9434841335084247,0.012383929909842484,0.08360177338795668,0.013731226925902939,4.170892713952386,0.6180224366954855,2.2165277120756777,0.22507585405201416,0.13034039731101207,0.019313201146733922,0.9138,0.0027294688127912285,0.8763,0.00649615270756466,6.58083513762738,0.0081401799296527,3.4322707777585153,0.018251336282143028,0.11942287554109395,0.0014118548410172558,-0.018165186745625457,0.0022106891703971223,46.634350652537,0.06719897716018294,8.250569103889912,0.016408988524631213
HBB,z,0.14284375,0.1414258080612977,0.865625,0.1451528020311699,0.859375,0.1384378527083543,0.8872519699420677,0.03677746280471539,0.07105714285714286,0.00830990925562576,19.449515534707405,2.5063651115222476,6.834292415616733,0.6466600587365464,0.3038986802298032,0.03916195486753512,0.8633999999999998,0.010484512387326329,0.9232999999999999,0.00336526373409273,6.480540080467766,0.201919443730987,3.29700151672312,0.006341989119734048,0.1091692078256417,0.0004570611519011299,-0.02840319284014838,0.013953362840800069,47.1167889156593,0.01705836302973446,8.150638610960252,0.03158811239084909
HHB,h1,0.8328920918367346,0.028341749022691858,1.0,0.0,0.9,0.08385254915624211,0.6196834921396143,0.05537378204568638,0.34213377109503873,0.03068808700711506,1.3607151779211093,0.07823864714954397,1.1726882926573663,0.03665326554405735,0.08504469862006933,0.004889915446846498,0.8919,0.0048140419607643,0.807,0.01871830654733485,6.597036922465881,0.009382990985216513,3.2905682624425046,0.005403162360704859,0.1087670037049759,0.000397968914364042,-0.032309748389203544,0.0034181672348201223,47.13040039525351,0.016309584025921465,8.134514341132373,0.01247705709790725
HHB,h2,0.7142856505102041,0.033792979613431286,1.0,0.0,0.34375,0.10597390598633231,0.4228846285137669,0.01791198721498513,0.24969882335334942,0.0005558102859809946,1.0451430234971932,0.0138557330830716,1.0223699472966077,0.006825071899814361,0.03266071948428729,0.0004329916588459875,0.9000999999999999,0.0035777087639997616,0.8524,0.010175952043912227,6.507283969052866,0.018298318474051646,3.314919101625745,0.009373192014111523,0.11064869100343344,0.0007184791506967596,-0.040718942986231764,0.002727819058362624,47.03721363307311,0.03989792893540858,8.13727722825624,0.02089869250170479
HHB,z,0.2452953125,0.06529715691492145,0.775,0.07781187248742957,0.76875,0.07022564079451322,0.8521405378856649,0.024791656854612296,0.07287142857142856,0.009783550334252752,11.541122599872722,0.770731215887304,4.198815970361601,0.24311815396608533,0.18033004062301128,0.012042675248239125,0.8778,0.005674504383644489,0.9183,0.0024135036772294006,6.452461652706438,0.14568971050748644,3.3003138320117573,0.019351145536339653,0.1094812449793292,0.0014474383353347215,-0.026370457594369602,0.011590534234347772,47.08421965889339,0.06951623033135784,8.108879921833763,0.025270616980640193
HHH,h1,0.8328920918367346,0.028341749022691858,1.0,0.0,0.9,0.08385254915624211,0.6196834921396143,0.05537378204568638,0.34213377109503873,0.03068808700711506,1.3607151779211093,0.07823864714954397,1.1726882926573663,0.03665326554405735,0.08504469862006933,0.004889915446846498,0.8919,0.0048140419607643,0.807,0.01871830654733485,6.597036922465881,0.009382990985216513,3.2905682624425046,0.005403162360704859,0.1087670037049759,0.000397968914364042,-0.032309748389203544,0.0034181672348201223,47.13040039525351,0.016309584025921465,8.134514341132373,0.01247705709790725
