seed,method,mean_effective_alignment,mean_effective_snr,test_accuracy,z_effective_rank,gaussian_0_4_accuracy_drop
0,HHH,0.1320534198154051,146.47168934945452,0.8978,1.0157807634039004,0.5851000000000001
0,HHB,0.19800770455913747,219.23255086231595,0.9187,11.822025073827069,0.3398
0,HBB,0.3627579445501469,438.4414077882893,0.9143,18.079015880433367,0.27859999999999996
1,HHH,0.12567416576466992,166.48372721627112,0.9066,1.0164628614639042,0.6103999999999999
1,HHB,0.1886757580103097,248.57199909472337,0.9163,11.603221924223355,0.4573
1,HBB,0.3354160064780697,497.1249026835664,0.9175,20.169725838392964,0.2702
2,HHH,0.0798976711076664,139.41842043051597,0.8864,1.013705139950528,0.3628
2,HHB,0.11964860186347184,208.4396924894452,0.9196,12.443805695085741,0.3877999999999999
2,HBB,0.22939679408625802,416.86556337247293,0.9144,22.321971991952694,0.22939999999999994
3,HHH,0.18916161810129237,163.62446308537366,0.889,1.013859982719699,0.513
3,HHB,0.283678435709693,245.00444342959307,0.924,11.51100340441283,0.4852
3,HBB,0.5747478141972073,489.988543070083,0.9179,20.788990354627803,0.20510000000000006
4,HHH,0.14601442076911902,141.34029849068597,0.8907,1.0185098946747102,0.5041
4,HHB,0.21907667462811584,211.52588949359756,0.9207,10.325556901814611,0.47079999999999994
4,HBB,0.3377262846725882,423.03841416369715,0.9178,15.887873608130187,0.2228
