case,reference_case,method,layer,mean_pca50_linear_cka,sd_pca50_linear_cka
early_heavy,balanced,BBB,h1,0.9954960998653268,0.0011643804561191691
early_heavy,balanced,BBB,h2,0.9889755993904192,0.0022088987497454805
early_heavy,balanced,BBB,z,0.9634628365528245,0.0040274342388986984
early_heavy,balanced,HHH,h1,0.998351098788033,0.0014923330995902833
early_heavy,balanced,HHH,h2,0.9992536072341641,0.0006054586059561072
early_heavy,balanced,HHH,z,0.9933172963652842,0.005199502028196408
early_heavy,balanced,HHB,h1,0.998351098788033,0.0014923330995902833
early_heavy,balanced,HHB,h2,0.9992536072341641,0.0006054586059561072
early_heavy,balanced,HHB,z,0.9665148529855501,0.0038538561451333317
early_heavy,balanced,HBB,h1,0.998351098788033,0.0014923330995902833
early_heavy,balanced,HBB,h2,0.988061830394104,0.0035640236939025655
early_heavy,balanced,HBB,z,0.9582749344018657,0.005442614215636836
late_heavy,balanced,BBB,h1,0.9882486155869286,0.007650545567069444
late_heavy,balanced,BBB,h2,0.9697251455249214,0.03605739004072706
late_heavy,balanced,BBB,z,0.8282156380681693,0.21966822099099206
late_heavy,balanced,HHH,h1,0.9207293004753506,0.122013338006477
late_heavy,balanced,HHH,h2,0.8925287729895676,0.1661996474596621
late_heavy,balanced,HHH,z,0.864734131279443,0.2578522837056898
late_heavy,balanced,HHB,h1,0.9207293004753506,0.122013338006477
late_heavy,balanced,HHB,h2,0.8925287729895676,0.1661996474596621
late_heavy,balanced,HHB,z,0.7886657879096598,0.21492914901579244
late_heavy,balanced,HBB,h1,0.9207293004753506,0.122013338006477
late_heavy,balanced,HBB,h2,0.9427680293637053,0.05771374876426389
late_heavy,balanced,HBB,z,0.8632864850261971,0.0946728080984935
