sweep,case,contrast,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
dimension,L16,HHB_minus_HHH,accuracy,0.05360000000000002,0.39370116205060907,-0.30085999999999996,0.25949999999999995
dimension,L16,HHB_minus_HHH,macro_f1,0.0397945739152197,0.4358628744670043,-0.3530356714224557,0.26521599161233755
dimension,L16,HHB_minus_HHH,classification_ce,-0.23019762635231017,1.003399939185845,-0.7596254348754883,0.6704165875911713
dimension,L16,HHB_minus_HHH,system_reconstruction_mse,-0.007781166714064929,0.035105507749727136,-0.026546831350910415,0.0239275370652335
dimension,L16,HHB_minus_HHH,standardized_reconstruction_mse,-0.0056772598795988135,0.03976511909251583,-0.026474565801425858,0.030187566834663858
dimension,L16,HHB_minus_HHH,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L16,HHB_minus_HHH,system_training_wall_time_sec,-10.00614798000097,94.10336335051169,-77.54964275999956,67.72022313999915
dimension,L16,HHB_minus_HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L16,HHB_minus_HHH,standardized_decoder_wall_time_sec,17.10325440000015,96.56493276971796,-50.35389472000243,96.61212936000302
dimension,L16,HHB_minus_HHH,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L16,HHB_minus_HHH,total_training_wall_time_sec,7.097106419999181,167.397464242085,-80.47879253999854,159.72698759999693
dimension,L16,HBB_minus_HHB,accuracy,0.13303999999999996,0.218101646027718,0.02317999999999998,0.33077999999999996
dimension,L16,HBB_minus_HHB,macro_f1,0.1478303928086208,0.24931246306068652,0.02359288982047376,0.3736932706086532
dimension,L16,HBB_minus_HHB,classification_ce,-0.334316098690033,0.5084738616933144,-0.7974352180957794,-0.07234168946743011
dimension,L16,HBB_minus_HHB,system_reconstruction_mse,-0.010770679846783074,0.016846593236634004,-0.026078536641451776,-0.0023287138205158467
dimension,L16,HBB_minus_HHB,standardized_reconstruction_mse,-0.01287185236483204,0.021891711016904382,-0.03269957768381858,-0.002136225703297829
dimension,L16,HBB_minus_HHB,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L16,HBB_minus_HHB,system_training_wall_time_sec,-65.89860084000102,67.50773413979104,-109.47250090000016,-4.889569299999129
dimension,L16,HBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L16,HBB_minus_HHB,standardized_decoder_wall_time_sec,11.783167300000787,35.49139329432056,-14.46052167999951,42.041987060000245
dimension,L16,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L16,HBB_minus_HHB,total_training_wall_time_sec,-54.11543354000023,100.2945797580193,-118.17231521999929,33.748545459999875
dimension,L16,BBB_minus_HHB,accuracy,0.14673999999999998,0.2609068665252028,0.025360000000000004,0.38133999999999996
dimension,L16,BBB_minus_HHB,macro_f1,0.16474994410031665,0.3000037986722226,0.025812406666504438,0.43430200454592605
dimension,L16,BBB_minus_HHB,classification_ce,-0.3596323162317276,0.6166755590161126,-0.9129069745540619,-0.07652892768383027
dimension,L16,BBB_minus_HHB,system_reconstruction_mse,-0.011408004870122793,0.01975970002318083,-0.029152640474864416,-0.002164433142214405
dimension,L16,BBB_minus_HHB,standardized_reconstruction_mse,-0.013465962701719634,0.024954819001914416,-0.03584356487215781,-0.002008003575850506
dimension,L16,BBB_minus_HHB,system_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L16,BBB_minus_HHB,system_training_wall_time_sec,-202.23208078000025,104.97104552217753,-278.8782654799987,-111.99682012000267
dimension,L16,BBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
