sweep,case,method,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,classification_ce_mean,classification_ce_sd,classification_ce_ci_low,classification_ce_ci_high,system_reconstruction_mse_mean,system_reconstruction_mse_sd,system_reconstruction_mse_ci_low,system_reconstruction_mse_ci_high,standardized_reconstruction_mse_mean,standardized_reconstruction_mse_sd,standardized_reconstruction_mse_ci_low,standardized_reconstruction_mse_ci_high,system_training_samples_seen_mean,system_training_samples_seen_sd,system_training_samples_seen_ci_low,system_training_samples_seen_ci_high,system_training_wall_time_sec_mean,system_training_wall_time_sec_sd,system_training_wall_time_sec_ci_low,system_training_wall_time_sec_ci_high,standardized_decoder_samples_seen_mean,standardized_decoder_samples_seen_sd,standardized_decoder_samples_seen_ci_low,standardized_decoder_samples_seen_ci_high,standardized_decoder_wall_time_sec_mean,standardized_decoder_wall_time_sec_sd,standardized_decoder_wall_time_sec_ci_low,standardized_decoder_wall_time_sec_ci_high,total_training_samples_seen_mean,total_training_samples_seen_sd,total_training_samples_seen_ci_low,total_training_samples_seen_ci_high,total_training_wall_time_sec_mean,total_training_wall_time_sec_sd,total_training_wall_time_sec_ci_low,total_training_wall_time_sec_ci_high
architecture,balanced,BBB,0.91584,0.0023786550821840273,0.9137600000000001,0.9176,0.9144916053430412,0.0023477448489302864,0.9124243285437877,0.9162802604636997,0.28265197277069093,0.003707177774501879,0.27983253002166747,0.28547141551971433,0.0032011022525417565,0.00048485001355310026,0.0029050188997327064,0.0036221256472139945,0.003234369178791435,0.0005233365257333246,0.0028800059327300713,0.003698428045535574,500000.0,0.0,500000.0,500000.0,312.9768771000319,81.3719909021602,250.2477542600136,374.2081502000568,500000.0,0.0,500000.0,500000.0,248.2134587599907,61.43207457646099,200.8138425400037,295.6130749799777,1000000.0,0.0,1000000.0,1000000.0,561.1903358600226,141.54125078772668,447.584457259997,666.1672405000311
architecture,balanced,HBB,0.91638,0.0018593009439033796,0.9149800000000001,0.9177799999999999,0.9151505160361297,0.0018305255631996028,0.9137542092121638,0.9164869524195935,0.2832034945487976,0.007430886663399658,0.2776042759418488,0.2886632025241852,0.0032699993506742986,0.000517092367223824,0.0029303990406892738,0.0037217697432576392,0.003312132648351241,0.0006059456811933659,0.0029093423312050956,0.0038482087160616506,1000000.0,0.0,1000000.0,1000000.0,435.8698365200338,96.5793178571586,349.7394341800065,495.5024967800593,500000.0,0.0,500000.0,500000.0,246.48647319999182,39.94059301650886,215.03748766000172,276.1966531799873,1500000.0,0.0,1500000.0,1500000.0,682.3563097200256,134.4181050713385,564.7769218400083,771.6991499600466
architecture,balanced,HHB,0.9198599999999999,0.0028254203227130814,0.91766,0.9222400000000001,0.9186179440340909,0.0029015694172393907,0.916382821172865,0.9211106805312482,0.2773395895957947,0.00559195194125449,0.2730044424533844,0.281554514169693,0.0046470480285372056,0.0002787657807319296,0.004426253727990754,0.004867842329083657,0.004568547135372551,0.00034575618626498126,0.004305969978060041,0.00484556265422276,1500000.0,0.0,1500000.0,1500000.0,579.255081860027,133.6223392100284,464.6897318200201,666.4183165400522,500000.0,0.0,500000.0,500000.0,257.58887043999187,47.00296167597084,216.4603555799944,285.6646349999857,2000000.0,0.0,2000000.0,2000000.0,836.8439523000188,176.31192082886056,682.7801051600042,943.5084416200513
architecture,balanced,HHH,0.8940999999999999,0.008167006795638157,0.8883000000000001,0.9013199999999999,0.8927295922727015,0.008253533092040856,0.8868810729959229,0.8999729301696521,0.3552584707736969,0.024984076658758708,0.3324612081050873,0.370277601480484,0.018500022951242874,0.0015114239059349313,0.017325575389083553,0.019674470513402202,0.018688835105117485,0.001462081046428026,0.017493020102053274,0.019767667216865382,2000000.0,0.0,2000000.0,2000000.0,695.3432434400213,182.27000193517483,543.7758412400096,826.7833316600415,500000.0,0.0,500000.0,500000.0,242.39518759998336,57.351305305355055,194.32856593999077,284.97251069997435,2500000.0,0.0,2500000.0,2500000.0,937.7384310400046,239.03142289324202,738.1044071800004,1111.755842360016
architecture,early_heavy,BBB,0.9187799999999999,0.0012755391017134712,0.9178200000000001,0.91978,0.9174681226816723,0.0013416527870823308,0.9164712692648289,0.9185333876592752,0.27292335629463194,0.003656119466970178,0.2700386643409729,0.2756679892539978,0.0030851331877221866,0.0003423930626176784,0.0028384196128164022,0.003387753077380511,0.004994048644766515,0.000607642867766337,0.0044823331989560814,0.005436414612945245,500000.0,0.0,500000.0,500000.0,445.5527640599932,164.72292068312925,335.5754957600031,591.1993938799773,500000.0,0.0,500000.0,500000.0,422.3012874400098,261.2640853213532,281.0640550199896,658.6008662200096,1000000.0,0.0,1000000.0,1000000.0,867.8540515000029,420.6884879609081,616.6395507799928,1249.8002600999869
architecture,early_heavy,HBB,0.91876,0.0027645976199078158,0.91672,0.92106,0.9175176986460256,0.0027998676349813693,0.9154595917066978,0.9198574215291748,0.270296186208725,0.0078383119265162,0.26333104968070986,0.27519079446792605,0.0034736688869826645,0.0006887687143652398,0.003017484784710164,0.004077632685680779,0.004835356258567498,0.0008029481124892234,0.004217186291947657,0.005432893600561181,1000000.0,0.0,1000000.0,1000000.0,467.40292053997985,68.49243351812811,431.8054019199684,529.7062381200027,500000.0,0.0,500000.0,500000.0,327.890155759966,44.70753475858312,292.9211949799443,362.8591165399877,1500000.0,0.0,1500000.0,1500000.0,795.2930762999458,103.12886342998286,733.3594516999088,887.1332241799915
architecture,early_heavy,HHB,0.9208000000000001,0.0008999999999999934,0.9202,0.92158,0.9196349112789285,0.0009431342148680663,0.9189818425075696,0.9204999795310179,0.27616521120071413,0.004770843954709751,0.2729624152183533,0.28028644323349,0.004855286131780975,0.000371124640500202,0.0045646289527659515,0.005145943310795998,0.005646173668005028,0.0005887981037558834,0.005183149485101504,0.006109197850908551,1500000.0,0.0,1500000.0,1500000.0,570.8592812000076,55.65890904668814,532.0743777200114,617.3719598800177,500000.0,0.0,500000.0,500000.0,260.9143579200143,17.76477621554567,246.27887703999878,275.0030023799976,2000000.0,0.0,2000000.0,2000000.0,831.7736391200218,66.55173119281352,781.6899414200336,885.4321727800416
architecture,early_heavy,HHH,0.89726,0.006440729772316183,0.8915599999999999,0.90174,0.8956869999927062,0.0065467091315209655,0.8899309863887982,0.9002677000964396,0.34128511548042295,0.022086244155688238,0.3245866894721985,0.35798354148864747,0.02726597076416016,0.00581660355702319,0.022468806744789592,0.03170265671087771,0.02982157151981276,0.004954726645748082,0.025608944177432934,0.03326549817377207,2000000.0,0.0,2000000.0,2000000.0,860.7153111800086,505.17186171818,611.522243539989,1312.6679181600455,500000.0,0.0,500000.0,500000.0,250.84115400002338,31.980807889053505,230.09340942001435,279.02148698000235,2500000.0,0.0,2500000.0,2500000.0,1111.5564651800319,535.5563831056944,841.6156529600033,1591.689405140048
architecture,late_heavy,BBB,0.8605799999999999,0.12084141260346143,0.75154,0.91822,0.8559916089190714,0.12826915575920075,0.7402361172005515,0.9171223095576817,0.44969249367713926,0.35799425164941356,0.27781538367271424,0.7728224396705627,0.01423210497486348,0.018569737091596157,0.0038640843858524245,0.03125221960262377,0.014367943679848496,0.018416790293991788,0.0038981459139804447,0.03124279865693073,500000.0,0.0,500000.0,500000.0,175.30687844003552,20.605066101281356,158.35726722001564,189.92062666006387,500000.0,0.0,500000.0,500000.0,158.75593185999895,25.73947093117808,136.2976216400275,178.7595665199915,1000000.0,0.0,1000000.0,1000000.0,334.06281030003447,26.272406630486348,310.5617258800659,349.7193149200408
architecture,late_heavy,HBB,0.89696,0.036080922937197724,0.86402,0.9162800000000001,0.8951677420049169,0.03703975121066881,0.8613433872304205,0.9150617316488081,0.3376464545726776,0.10313684956917687,0.2817305147647858,0.4306876420974731,0.01201504469190325,0.010286123111659799,0.005619248586382184,0.02132629374971195,0.012191172327995301,0.010365550514486213,0.005645990380267708,0.021538914814092674,1000000.0,0.0,1000000.0,1000000.0,283.58862788002006,34.57196740793848,258.5881348400144,314.61406144001523,500000.0,0.0,500000.0,500000.0,145.04044896000997,19.568692007568217,130.0022196599748,161.63022936002818,1500000.0,0.0,1500000.0,1500000.0,428.62907684003005,28.319413409246383,405.5583461600589,449.56650042000695
