sweep,method,case,metric,value,baseline_case,baseline_value,absolute_change,relative_change,layer,noise_type,rule
architecture,BBB,early_heavy,accuracy,0.9187799999999999,balanced,0.91584,0.0029399999999999427,0.0032101677148811286,,,
architecture,BBB,balanced,accuracy,0.91584,balanced,0.91584,0.0,0.0,,,
architecture,BBB,late_heavy,accuracy,0.8605799999999999,balanced,0.91584,-0.05526000000000009,-0.06033805031439962,,,
architecture,BBB,early_heavy,macro_f1,0.9174681226816723,balanced,0.9144916053430412,0.002976517338631135,0.0032548328724257,,,
architecture,BBB,balanced,macro_f1,0.9144916053430412,balanced,0.9144916053430412,0.0,0.0,,,
architecture,BBB,late_heavy,macro_f1,0.8559916089190714,balanced,0.9144916053430412,-0.05849999642396975,-0.06396996547820846,,,
architecture,BBB,early_heavy,classification_ce,0.27292335629463194,balanced,0.28265197277069093,-0.009728616476058993,-0.03441906447940195,,,
architecture,BBB,balanced,classification_ce,0.28265197277069093,balanced,0.28265197277069093,0.0,0.0,,,
architecture,BBB,late_heavy,classification_ce,0.44969249367713926,balanced,0.28265197277069093,0.16704052090644833,0.5909759598294879,,,
architecture,BBB,early_heavy,system_reconstruction_mse,0.0030851331877221866,balanced,0.0032011022525417565,-0.0001159690648195699,-0.036227853918524365,,,
architecture,BBB,balanced,system_reconstruction_mse,0.0032011022525417565,balanced,0.0032011022525417565,0.0,0.0,,,
architecture,BBB,late_heavy,system_reconstruction_mse,0.01423210497486348,balanced,0.0032011022525417565,0.011031002722321725,3.4460013609739666,,,
architecture,BBB,early_heavy,standardized_reconstruction_mse,0.004994048644766515,balanced,0.003234369178791435,0.0017596794659750802,0.5440564660860858,,,
architecture,BBB,balanced,standardized_reconstruction_mse,0.003234369178791435,balanced,0.003234369178791435,0.0,0.0,,,
architecture,BBB,late_heavy,standardized_reconstruction_mse,0.014367943679848496,balanced,0.003234369178791435,0.01113357450105706,3.4422707743508107,,,
