sweep,case,method,layer,effective_rank_mean,effective_rank_sd,effective_rank_ci_low,effective_rank_ci_high,stable_rank_mean,stable_rank_sd,stable_rank_ci_low,stable_rank_ci_high,winner_coverage_ratio_mean,winner_coverage_ratio_sd,winner_coverage_ratio_ci_low,winner_coverage_ratio_ci_high,winner_entropy_mean,winner_entropy_sd,winner_entropy_ci_low,winner_entropy_ci_high,max_winner_share_mean,max_winner_share_sd,max_winner_share_ci_low,max_winner_share_ci_high,linear_probe_cv_accuracy_mean,linear_probe_cv_accuracy_sd,linear_probe_cv_accuracy_ci_low,linear_probe_cv_accuracy_ci_high,knn_cv_accuracy_mean,knn_cv_accuracy_sd,knn_cv_accuracy_ci_low,knn_cv_accuracy_ci_high,between_within_scatter_ratio_mean,between_within_scatter_ratio_sd,between_within_scatter_ratio_ci_low,between_within_scatter_ratio_ci_high,silhouette_score_mean,silhouette_score_sd,silhouette_score_ci_low,silhouette_score_ci_high
architecture,balanced,BBB,h1,1.882369806551793,0.2618257852212493,1.7024703879335241,2.116483821594912,1.4005715885134244,0.11086142270710622,1.3228541868586041,1.5011374994048328,0.9875,0.02795084971874737,0.9625,1.0,0.7702586229804895,0.06858517710123785,0.7191043447914701,0.8211176844881356,0.2736962314427103,0.05486290215768822,0.23274965105951023,0.3146428118259104,0.9004,0.004979959839195566,0.8965,0.9041,0.8427999999999999,0.007766917020285399,0.8370000000000001,0.8491,0.11004322856452134,0.0008366118166700764,0.10940767190719414,0.11067878522184853,-0.028580419717087226,0.0031443553087154856,-0.031362692693903356,-0.026405446120553382
architecture,balanced,BBB,h2,4.30995940156323,0.42306718068990745,4.002263948992453,4.662058868323526,2.253398276366468,0.1525158458344161,2.142656068158729,2.3812139508482835,1.0,0.0,1.0,1.0,0.941798478730635,0.009309580052752375,0.9341740389114795,0.9486506883340405,0.08038516938848046,0.015102905448773626,0.06896009877097481,0.0921890491423013,0.9190000000000002,0.00511126207506525,0.9144,0.9218,0.8748000000000001,0.004266145801540252,0.8712,0.8779,0.12101574330868219,0.0023463124745819017,0.11923217732880906,0.12283454995026946,-0.016027557329648136,0.001227266350326799,-0.016979743550562157,-0.01507537110873412
architecture,balanced,BBB,z,20.268654129908928,2.753912877803916,17.835624201051818,22.11647113279373,7.11449822093279,0.8104274964413252,6.4352046355012025,7.653371255526105,0.85,0.11827619292359726,0.75,0.928125,0.8938356231243503,0.02788781689291456,0.8687095946440756,0.9120986828862101,0.06735714285714287,0.01088471592722229,0.0591,0.07561428571428572,0.8605,0.004000000000000007,0.8577999999999999,0.8638999999999999,0.9241999999999999,0.005837379549078582,0.9198999999999998,0.9288000000000001,0.1097315847650618,0.0006230825445718492,0.10927641630226773,0.11026597672677299,-0.02641349345245143,0.012097929703349138,-0.03266842501018409,-0.015505850794847648
architecture,balanced,HBB,h1,1.3607151779211093,0.07823864714954397,1.2973106459262425,1.4288124860479061,1.1726882926573663,0.03665326554405735,1.1430711898882684,1.204057809840562,0.9,0.08385254915624211,0.8375,0.9625,0.6196834921396143,0.05537378204568638,0.5763968091403979,0.6609971687284395,0.34213377109503873,0.03068808700711506,0.3191703146808781,0.3670322611343738,0.8919,0.0048140419607643,0.8880000000000001,0.8955,0.807,0.01871830654733485,0.7908999999999999,0.8216999999999999,0.1087670037049759,0.000397968914364042,0.10847559962790965,0.10909368373099129,-0.032309748389203544,0.0034181672348201223,-0.03499804688534704,-0.029504588690409783
architecture,balanced,HBB,h2,4.170892713952386,0.6180224366954855,3.7095341750590967,4.624092212109508,2.2165277120756777,0.22507585405201416,2.0440541177110148,2.3806808233388765,1.0,0.0,1.0,1.0,0.9434841335084247,0.012383929909842484,0.9339132275254046,0.9530550394914448,0.08360177338795668,0.013731226925902939,0.07300166488953738,0.09420188188637597,0.9138,0.0027294688127912285,0.9117,0.9158999999999999,0.8763,0.00649615270756466,0.8718000000000001,0.882,0.11942287554109395,0.0014118548410172558,0.11829493125455204,0.12044841072478041,-0.018165186745625457,0.0022106891703971223,-0.020071025673305525,-0.016747924329882237
architecture,balanced,HBB,z,19.449515534707405,2.5063651115222476,17.6006145002353,21.27833010631079,6.834292415616733,0.6466600587365464,6.380856747729687,7.364404701742231,0.859375,0.1384378527083543,0.74375,0.95625,0.8872519699420677,0.03677746280471539,0.8564203890974473,0.9117504324334277,0.07105714285714286,0.00830990925562576,0.06398571428571428,0.07665714285714284,0.8633999999999998,0.010484512387326329,0.8551,0.8724000000000001,0.9232999999999999,0.00336526373409273,0.9204000000000001,0.9257,0.1091692078256417,0.0004570611519011299,0.1088187814215023,0.10951963422978113,-0.02840319284014838,0.013953362840800069,-0.03544544872617484,-0.015927995321503085
architecture,balanced,HHB,h1,1.3607151779211093,0.07823864714954397,1.2973106459262425,1.4288124860479061,1.1726882926573663,0.03665326554405735,1.1430711898882684,1.204057809840562,0.9,0.08385254915624211,0.8375,0.9625,0.6196834921396143,0.05537378204568638,0.5763968091403979,0.6609971687284395,0.34213377109503873,0.03068808700711506,0.3191703146808781,0.3670322611343738,0.8919,0.0048140419607643,0.8880000000000001,0.8955,0.807,0.01871830654733485,0.7908999999999999,0.8216999999999999,0.1087670037049759,0.000397968914364042,0.10847559962790965,0.10909368373099129,-0.032309748389203544,0.0034181672348201223,-0.03499804688534704,-0.029504588690409783
architecture,balanced,HHB,h2,1.0451430234971932,0.0138557330830716,1.0335829890608408,1.0554560694552408,1.0223699472966077,0.006825071899814361,1.016675262590074,1.0274487100130947,0.34375,0.10597390598633231,0.2625,0.425,0.4228846285137669,0.01791198721498513,0.4136847631673467,0.4390431416261265,0.24969882335334942,0.0005558102859809946,0.24920309781693697,0.2499794227135829,0.9000999999999999,0.0035777087639997616,0.8974,0.9027000000000001,0.8524,0.010175952043912227,0.8445,0.8603,0.11064869100343344,0.0007184791506967596,0.11007345012276826,0.11117898582662052,-0.040718942986231764,0.002727819058362624,-0.042118241588326645,-0.03824290923062733
architecture,balanced,HHB,z,11.541122599872722,0.770731215887304,10.861939836736747,12.089128482778683,4.198815970361601,0.24311815396608533,3.99571001755166,4.371379987188665,0.76875,0.07022564079451322,0.715625,0.821875,0.8521405378856649,0.024791656854612296,0.8307630607683898,0.8694207144639992,0.07287142857142856,0.009783550334252752,0.06392857142857142,0.07874285714285714,0.8778,0.005674504383644489,0.8733000000000001,0.8823000000000001,0.9183,0.0024135036772294006,0.9164000000000001,0.9202,0.1094812449793292,0.0014474383353347215,0.10827361368249903,0.11065582463383869,-0.026370457594369602,0.011590534234347772,-0.03457360698713227,-0.016088653542458857
architecture,balanced,HHH,h1,1.3607151779211093,0.07823864714954397,1.2973106459262425,1.4288124860479061,1.1726882926573663,0.03665326554405735,1.1430711898882684,1.204057809840562,0.9,0.08385254915624211,0.8375,0.9625,0.6196834921396143,0.05537378204568638,0.5763968091403979,0.6609971687284395,0.34213377109503873,0.03068808700711506,0.3191703146808781,0.3670322611343738,0.8919,0.0048140419607643,0.8880000000000001,0.8955,0.807,0.01871830654733485,0.7908999999999999,0.8216999999999999,0.1087670037049759,0.000397968914364042,0.10847559962790965,0.10909368373099129,-0.032309748389203544,0.0034181672348201223,-0.03499804688534704,-0.029504588690409783
architecture,balanced,HHH,h2,1.0451430234971932,0.0138557330830716,1.0335829890608408,1.0554560694552408,1.0223699472966077,0.006825071899814361,1.016675262590074,1.0274487100130947,0.34375,0.10597390598633231,0.2625,0.425,0.4228846285137669,0.01791198721498513,0.4136847631673467,0.4390431416261265,0.24969882335334942,0.0005558102859809946,0.24920309781693697,0.2499794227135829,0.9000999999999999,0.0035777087639997616,0.8974,0.9027000000000001,0.8524,0.010175952043912227,0.8445,0.8603,0.11064869100343344,0.0007184791506967596,0.11007345012276826,0.11117898582662052,-0.040718942986231764,0.002727819058362624,-0.042118241588326645,-0.03824290923062733
architecture,balanced,HHH,z,1.0156637284425485,0.0019901344491560463,1.014182201748871,1.0171705056415468,1.0078044760494689,0.0009881041661632282,1.0070688119511182,1.0085523151968356,0.109375,0.0,0.109375,0.109375,0.46789248700960073,6.206335383118183e-17,0.46789248700960073,0.46789248700960073,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8459999999999999,0.014335271186831497,0.8341999999999998,0.8567,0.8242,0.015582843129544758,0.8124,0.8360000000000001,0.10483942096942958,0.0018123633961148852,0.10361386270952577,0.10641493160581998,-0.04264248287751565,0.011950344603806777,-0.051326940295558475,-0.032618032400271293
architecture,early_heavy,BBB,h1,2.553561223867199,0.28948983622109764,2.3416535280243247,2.7981655280746596,1.6562554012703274,0.1163782961283014,1.5702149518398538,1.7537662385426978,0.996875,0.006987712429686843,0.990625,1.0,0.8549428599980136,0.011463853604188171,0.845284986335616,0.8632602959999662,0.09915801112984211,0.009536141211440792,0.09167505030181086,0.10651838961698117,0.9055,0.0036571847095819175,0.9027,0.9083,0.8176,0.004219004621945776,0.8152999999999999,0.8214,0.11176379054227192,0.0006045162150307816,0.11130565621204314,0.11222192487250071,-0.02586052414772209,0.0025582504756223277,-0.02799723157895561,-0.023941010928695123
