sweep,method,metric,baseline_case,baseline_value,minimum,maximum,sensitivity,layer,noise_type,rule
architecture,BBB,accuracy,balanced,0.91584,0.8605799999999999,0.9187799999999999,0.06354821802928075,,,
architecture,BBB,macro_f1,balanced,0.9144916053430412,0.8559916089190714,0.9174681226816723,0.06722479835063416,,,
architecture,BBB,classification_ce,balanced,0.28265197277069093,0.27292335629463194,0.44969249367713926,0.6253950243088899,,,
architecture,BBB,system_reconstruction_mse,balanced,0.0032011022525417565,0.0030851331877221866,0.01423210497486348,3.4822292148924907,,,
architecture,BBB,standardized_reconstruction_mse,balanced,0.003234369178791435,0.003234369178791435,0.014367943679848496,3.4422707743508107,,,
architecture,BBB,system_training_samples_seen,balanced,500000.0,500000.0,500000.0,0.0,,,
architecture,BBB,system_training_wall_time_sec,balanced,312.9768771000319,175.30687844003552,445.5527640599932,0.8634691742213989,,,
architecture,BBB,standardized_decoder_samples_seen,balanced,500000.0,500000.0,500000.0,0.0,,,
architecture,BBB,standardized_decoder_wall_time_sec,balanced,248.2134587599907,158.75593185999895,422.3012874400098,1.061768998734449,,,
architecture,BBB,total_training_samples_seen,balanced,1000000.0,1000000.0,1000000.0,0.0,,,
architecture,BBB,total_training_wall_time_sec,balanced,561.1903358600226,334.06281030003447,867.8540515000029,0.9511768237810687,,,
architecture,HBB,accuracy,balanced,0.91638,0.89696,0.91876,0.023789257731482848,,,
architecture,HBB,macro_f1,balanced,0.9151505160361297,0.8951677420049169,0.9175176986460256,0.024422164714380096,,,
architecture,HBB,classification_ce,balanced,0.2832034945487976,0.270296186208725,0.3376464545726776,0.23781580969195978,,,
architecture,HBB,system_reconstruction_mse,balanced,0.0032699993506742986,0.0032699993506742986,0.01201504469190325,2.67432632264937,,,
architecture,HBB,standardized_reconstruction_mse,balanced,0.003312132648351241,0.003312132648351241,0.012191172327995301,2.680762100933134,,,
architecture,HBB,system_training_samples_seen,balanced,1000000.0,1000000.0,1000000.0,0.0,,,
architecture,HBB,system_training_wall_time_sec,balanced,435.8698365200338,283.58862788002006,467.40292053997985,0.4217183141818779,,,
architecture,HBB,standardized_decoder_samples_seen,balanced,500000.0,500000.0,500000.0,0.0,,,
architecture,HBB,standardized_decoder_wall_time_sec,balanced,246.48647319999182,145.04044896000997,327.890155759966,0.7418245083639801,,,
architecture,HBB,total_training_samples_seen,balanced,1500000.0,1500000.0,1500000.0,0.0,,,
